individual_id,tattoo,year,quarter,q_index,n_capture_rows,p_min,p_max,p_mean,p_range
114,005T,2017,3,8070,1,6.9e-6,6.9e-6,6.9e-6,0
114,005T,2017,4,8071,1,3e-5,3e-5,3e-5,0
114,005T,2018,1,8072,1,3.06e-4,3.06e-4,3.06e-4,0
114,005T,2018,2,8073,1,0.002879828,0.002879828,0.002879828,0
114,005T,2018,3,8074,1,0.005368454,0.005368454,0.005368454,0
114,005T,2018,4,8075,1,0.017531393,0.017531393,0.017531393,0
114,005T,2019,1,8076,1,0.153539208,0.153539208,0.153539208,0
114,005T,2019,2,8077,1,0.227419573,0.227419573,0.227419573,0
114,005T,2019,3,8078,1,0.248702252,0.248702252,0.248702252,0
116,005V,2015,1,8060,1,1.36e-5,1.36e-5,1.36e-5,0
116,005V,2015,2,8061,1,1.01e-4,1.01e-4,1.01e-4,0
116,005V,2015,3,8062,1,0.001342561,0.001342561,0.001342561,0
117,005W,2005,2,8021,1,5.17e-5,5.17e-5,5.17e-5,0
117,005W,2005,3,8022,2,1.12e-4,1.12e-4,1.12e-4,0
117,005W,2005,4,8023,1,8.23e-4,8.23e-4,8.23e-4,0
117,005W,2006,2,8025,1,0.013748715,0.013748715,0.013748715,0
118,005X,2025,3,8102,2,9.11e-4,9.11e-4,9.11e-4,0
118,005X,2025,4,8103,1,0.004805476,0.004805476,0.004805476,0
119,005Y,2007,2,8029,1,0.003835037,0.003835037,0.003835037,0
120,005Z,2019,2,8077,1,0.001758442,0.001758442,0.001758442,0
120,005Z,2019,3,8078,1,0.002859311,0.002859311,0.002859311,0
120,005Z,2019,4,8079,1,0.00825102,0.00825102,0.00825102,0
121,006A,2014,2,8057,1,8.84e-7,8.84e-7,8.84e-7,0
121,006A,2014,3,8058,1,4.14e-6,4.14e-6,4.14e-6,0
121,006A,2014,4,8059,1,4.98e-5,4.98e-5,4.98e-5,0
121,006A,2015,2,8061,1,0.001886974,0.001886974,0.001886974,0
121,006A,2016,2,8065,1,0.003867659,0.003867659,0.003867659,0
121,006A,2017,3,8070,1,0.017765831,0.017765831,0.017765831,0
122,006B,2006,2,8025,1,0.017462245,0.017462245,0.017462245,0
123,006C,2016,2,8065,1,6.34e-8,6.34e-8,6.34e-8,0
123,006C,2016,3,8066,1,1.87e-7,1.87e-7,1.87e-7,0
123,006C,2016,4,8067,1,7.87e-7,7.87e-7,7.87e-7,0
123,006C,2017,1,8068,1,8.27e-6,8.27e-6,8.27e-6,0
123,006C,2017,4,8071,1,1.52e-4,1.52e-4,1.52e-4,0
123,006C,2018,3,8074,1,0.001188463,0.001188463,0.001188463,0
123,006C,2018,4,8075,1,0.002521778,0.002521778,0.002521778,0
124,006D,2022,2,8089,1,0.002480628,0.002480628,0.002480628,0
125,006E,2013,2,8053,1,3.39e-7,3.39e-7,3.39e-7,0
125,006E,2013,3,8054,1,9.39e-7,9.39e-7,9.39e-7,0
125,006E,2013,4,8055,1,5.39e-6,5.39e-6,5.39e-6,0
125,006E,2014,2,8057,1,1.93e-4,1.93e-4,1.93e-4,0
125,006E,2014,3,8058,1,0.001639122,0.001639122,0.001639122,0
126,006F,2010,2,8041,1,0.005015805,0.005015805,0.005015805,0
127,006G,2003,2,8013,1,7.82e-4,7.82e-4,7.82e-4,0
127,006G,2003,4,8015,1,0.002430846,0.002430846,0.002430846,0
127,006G,2004,2,8017,1,0.01384697,0.01384697,0.01384697,0
128,006H,2020,3,8082,1,0.002918063,0.002918063,0.002918063,0
129,006J,2023,3,8094,1,0.012163552,0.012163552,0.012163552,0
130,006K,2012,2,8049,1,0.22966795,0.22966795,0.22966795,0
130,006K,2012,3,8050,1,0.66032745,0.66032745,0.66032745,0
131,006L,2011,3,8046,2,0.136561168,0.136561168,0.136561168,0
131,006L,2011,4,8047,1,0.222048672,0.222048672,0.222048672,0
131,006L,2012,2,8049,1,0.232041263,0.232041263,0.232041263,0
131,006L,2012,3,8050,2,0.272764849,0.272764849,0.272764849,0
131,006L,2013,2,8053,1,0.983607941,0.983607941,0.983607941,0
131,006L,2013,3,8054,1,0.988831396,0.988831396,0.988831396,0
131,006L,2014,2,8057,1,0.999127596,0.999127596,0.999127596,0
132,006M,2018,2,8073,1,0.886978064,0.886978064,0.886978064,0
132,006M,2018,3,8074,2,0.91256217,0.91256217,0.91256217,0
132,006M,2019,3,8078,1,0.91322212,0.91322212,0.91322212,0
133,006N,2009,2,8037,1,0.100155621,0.100155621,0.100155621,0
134,006P,2008,2,8033,1,1.21e-4,1.21e-4,1.21e-4,0
134,006P,2008,3,8034,1,8.12e-4,8.12e-4,8.12e-4,0
134,006P,2008,4,8035,1,0.012471127,0.012471127,0.012471127,0
135,006Q,2024,2,8097,1,3.54e-8,3.54e-8,3.54e-8,0
135,006Q,2024,3,8098,1,1.95e-7,1.95e-7,1.95e-7,0
135,006Q,2024,4,8099,1,9.79e-7,9.79e-7,9.79e-7,0
135,006Q,2025,2,8101,2,2.63e-5,2.63e-5,2.63e-5,0
135,006Q,2025,3,8102,2,5.59e-4,5.59e-4,5.59e-4,0
135,006Q,2025,4,8103,1,0.004455239,0.004455239,0.004455239,0
