origin_SG,sigma_test,expected_same_SG,expected_neighbour_SG,expected_nonneighbour_SG,expected_peripheral,n_transitions,observed_same_SG,observed_neighbour_SG,observed_nonneighbour_SG,observed_peripheral,excess_same_SG,ratio_same_SG,excess_peripheral,ratio_peripheral
5,150,0.19838751257475404,0.038857806197829414,0,0.7627546812274166,154,0.9090909090909091,0.045454545454545456,0,0.045454545454545456,0.710703396516155,4.582399856182259,-0.7173001357728712,0.05959261420906718
6,60,0.8651264939171355,0.030784645307904375,0,0.10408886077496017,134,0.746268656716418,0.23134328358208955,0.022388059701492536,0,-0.11885783720071752,0.8626121867305776,-0.10408886077496017,0
6,100,0.7918504188703913,0.09641986820246203,6.360415920482268e-6,0.11172335251122616,134,0.746268656716418,0.23134328358208955,0.022388059701492536,0,-0.04558176215397336,0.9424363982543601,-0.11172335251122616,0
6,150,0.629681958685939,0.22149154513536018,0.0016550288724495883,0.14717146730625116,134,0.746268656716418,0.23134328358208955,0.022388059701492536,0,0.11658669803047894,1.1851517205190054,-0.14717146730625116,0
7,60,0.9033413326384097,0.09661015049270857,0,4.8516868881776066e-5,68,0.7058823529411765,0.22058823529411764,0.07352941176470588,0,-0.19745897969723314,0.7814126592430901,-4.8516868881776066e-5,0
7,100,0.7723694290810631,0.22166498326790932,7.303338859382935e-5,0.005892554262433698,68,0.7058823529411765,0.22058823529411764,0.07352941176470588,0,-0.06648707613988658,0.913918037617063,-0.005892554262433698,0
7,150,0.6222468456058718,0.3370520873539226,0.0031815156832482355,0.03751955135695729,68,0.7058823529411765,0.22058823529411764,0.07352941176470588,0,0.08363550733530467,1.13440888921481,-0.03751955135695729,0
8,60,0.9888027173730135,0.011197282626986535,0,0,75,0.84,0.13333333333333333,0.013333333333333334,0.013333333333333334,-0.14880271737301354,0.8495122285177948,0.013333333333333334,Inf
8,100,0.9273889346954941,0.07176888613368121,0,8.421791708246932e-4,75,0.84,0.13333333333333333,0.013333333333333334,0.013333333333333334,-0.08738893469549414,0.9057688404227208,0.012491154162508641,15.83194383717284
8,150,0.8282590968142082,0.1479519683056466,0.0020687844949318166,0.02172015038521335,75,0.84,0.13333333333333333,0.013333333333333334,0.013333333333333334,0.011740903185791796,1.014175399015781,-0.008386817051880017,0.6138692917342968
9,60,0.3234396706753671,0.676484046059406,7.628326522690081e-5,0,93,0.5268817204301075,0.40860215053763443,0.06451612903225806,0,0.2034420497547404,1.6289953527652858,0,NA
9,100,0.27933671774668795,0.711860497472276,0.008802784781035938,0,93,0.5268817204301075,0.40860215053763443,0.06451612903225806,0,0.24754500268341956,1.8861885565216021,0,NA
9,150,0.23595598333531095,0.7136519242175243,0.04953032321729057,8.617692298741476e-4,93,0.5268817204301075,0.40860215053763443,0.06451612903225806,0,0.2909257370947965,2.232966136236391,-8.617692298741476e-4,0
10,60,0.8997041552172301,0.10029584478276983,0,0,82,0.3902439024390244,0.5365853658536586,0.07317073170731707,0,-0.5094602527782057,0.43374691577900015,0,NA
10,100,0.6582574262110995,0.34061827618927093,0.0011242975996295223,0,82,0.3902439024390244,0.5365853658536586,0.07317073170731707,0,-0.2680135237720751,0.5928439040714678,0,NA
10,150,0.4143273808242038,0.5632391421268406,0.022387654262727853,4.582278622779724e-5,82,0.3902439024390244,0.5365853658536586,0.07317073170731707,0,-0.02408347838517938,0.9418733120237646,-4.582278622779724e-5,0
11,60,0.6797634177389688,0.32023658226103124,0,0,259,0.8146718146718147,0.16216216216216217,0.023166023166023165,0,0.13490839693284595,1.198463749905193,0,NA
11,100,0.5163993930919122,0.47904109582937004,0.004559511078717862,0,259,0.8146718146718147,0.16216216216216217,0.023166023166023165,0,0.2982724215799025,1.5776002558678726,0,NA
11,150,0.3926446269510142,0.5603723280296797,0.04694031402631371,4.2730992992282814e-5,259,0.8146718146718147,0.16216216216216217,0.023166023166023165,0,0.4220271877208005,2.0748324534527556,-4.2730992992282814e-5,0
12,60,0.9407983248528771,0.059201675147122906,0,0,184,0.7934782608695652,0.16847826086956522,0.03260869565217391,0.005434782608695652,-0.14732006398331188,0.8434095171179754,0.005434782608695652,Inf
12,100,0.7940999068216801,0.203322289568258,7.439991624812558e-4,0.0018338044475806614,184,0.7934782608695652,0.16847826086956522,0.03260869565217391,0.005434782608695652,-6.216459521148909e-4,0.9992171690907219,0.0036009781611149906,2.9636653002264017
12,150,0.6202824351500376,0.35120714166697886,0.014581910496213312,0.013928512686770296,184,0.7934782608695652,0.16847826086956522,0.03260869565217391,0.005434782608695652,0.17319582571952763,1.2792209095484608,-0.008493730078074644,0.3901911662009516
13,60,0.5350545046088235,0.46359430875259605,0.0013511866385803994,0,20,0.3,0.35,0.35,0,-0.23505450460882354,0.5606905416473952,0,NA
13,100,0.3673974680171963,0.6095798198984163,0.02298159904256034,4.111304182713545e-5,20,0.3,0.35,0.35,0,-0.06739746801719632,0.816554348126205,-4.111304182713545e-5,0
13,150,0.2537331113474515,0.6808412146106713,0.06358474008575349,0.001840933956123688,20,0.3,0.35,0.35,0,0.046266888652548466,1.1823447023009643,-0.001840933956123688,0
14,60,0.8483119197245225,0.15168808027547753,0,0,91,0.8461538461538461,0.10989010989010989,0.03296703296703297,0.01098901098901099,-0.002158073570676322,0.9974560376666909,0.01098901098901099,Inf
14,100,0.6592994083671144,0.3402996835139464,1.1157805633792801e-4,2.893300626012652e-4,91,0.8461538461538461,0.10989010989010989,0.03296703296703297,0.01098901098901099,0.18685443778673172,1.2834136287935003,0.010699680926409725,37.98088207707365
14,150,0.4913895343653708,0.49791465075362334,0.0038232889545958305,0.0068725259264100615,91,0.8461538461538461,0.10989010989010989,0.03296703296703297,0.01098901098901099,0.35476431178847534,1.7219614724734689,0.004116485062600928,1.5989770146638382
15,60,0.9881652359234309,0.004892728879511407,0,0.0069420351970577105,278,0.8525179856115108,0.12949640287769784,0.017985611510791366,0,-0.13564725031192004,0.8627281699652599,-0.0069420351970577105,0
15,100,0.9366262201748066,0.051070086849223685,3.653481166439356e-6,0.01230003949480339,278,0.8525179856115108,0.12949640287769784,0.017985611510791366,0,-0.08410823456329575,0.9102008541383795,-0.01230003949480339,0
15,150,0.8082957262953453,0.1753230937622008,9.161231005902271e-4,0.015465056841863733,278,0.8525179856115108,0.12949640287769784,0.017985611510791366,0,0.044222259316165524,1.0547104950298933,-0.015465056841863733,0
16,60,0.8848787951214383,0.1150360361957432,0,8.516868281837914e-5,273,0.8864468864468864,0.0989010989010989,0.007326007326007326,0.007326007326007326,0.0015680913254481066,1.0017720973020185,0.007240838643188947,86.01761919495597
16,100,0.7271883352140667,0.26448632815088446,1.9136868921828974e-5,0.008306199766126966,273,0.8864468864468864,0.0989010989010989,0.007326007326007326,0.007326007326007326,0.15925855123281973,1.2190059211908808,-9.8019244011964e-4,0.8819926720138725
16,150,0.5718113778474254,0.37021462599908567,0.0029453665242113927,0.05502862962927746,273,0.8864468864468864,0.0989010989010989,0.007326007326007326,0.007326007326007326,0.314635508599461,1.5502435257302876,-0.04770262230327013,0.13313083344727875
17,60,0.9480157143837217,0.05060201435149358,0,0.0013822712647846877,178,0.8202247191011236,0.14606741573033707,0.011235955056179775,0.02247191011235955,-0.12779099528259807,0.8652016065306772,0.021089638847574862,16.25723596001971
