tattoo,primary,primary_year,SG_id,zone,Sett_Clean,x,y,n_loc_obs,entry_group
046A,40,2015,7,1,BREAKHEART,381370,201620,1,1
046A,41,2016,8,1,HONEYWELL,381931,201706,2,1
046A,42,2017,8,1,CHAIN,381946,201669,1,1
046A,43,2018,8,1,HONEYWELL,381931,201706,1,1
046B,31,2006,999,2,HEDGE,381350,200278,1,1
046B,33,2008,4,1,THISTLEWOODBANK,381109,200408,2,1
046E,38,2013,999,2,INCHBROOK,384013,200739,1,1
046E,39,2014,999,2,INCHBROOK,384013,200739,2,1
046G,28,2003,2,1,LARCH,380541,201242,1,1
046K,37,2012,1,1,WEST,380190,201400,1,1
046M,43,2018,6,1,SYCAMORE,381103,201676,1,1
046M,44,2019,6,1,CEDAR,381022,201589,3,1
046M,45,2020,6,1,CEDAR,381022,201589,1,1
046N,34,2009,22,1,WOODFARM,383337,200429,1,1
046P,33,2008,9,1,LAURELS,381180,201357,1,1
046P,34,2009,9,1,LAURELS,381180,201357,2,1
046P,35,2010,6,1,CEDAR,381022,201589,1,1
046P,36,2011,6,1,CEDAR,381022,201589,1,1
046P,37,2012,7,1,BREAKHEART,381370,201620,1,1
046P,38,2013,9,1,LAURELS,381180,201357,1,1
046R,29,2004,14,1,OAKPILE,382183,201478,2,1
046R,30,2005,8,1,HONEYWELL,381931,201706,1,1
046V,40,2015,999,2,INCHBROOK,384013,200739,2,1
046W,30,2005,16,1,PEGLARS,382355,200596,2,1
046Y,32,2007,999,2,HEDGE,381350,200278,2,1
046Z,44,2019,7,1,BULLPEN,381230,201693,1,1
046Z,45,2020,6,1,CEDAR,381022,201589,1,1
047A,39,2014,18,1,NETTLE,383024,201142,1,1
047B,31,2006,999,2,HEDGE,381350,200278,2,1
047B,32,2007,999,2,HEDGE,381350,200278,1,1
047E,38,2013,999,2,INCHBROOK,384013,200739,2,1
047E,39,2014,999,2,INCHBROOK,384013,200739,2,1
047E,40,2015,999,2,INCHBROOK,384013,200739,1,1
047G,28,2003,2,1,BOX,380621,201409,2,1
047G,29,2004,2,1,BOX,380621,201409,1,1
047G,30,2005,2,1,BOX,380621,201409,1,1
047K,37,2012,1,1,WEST,380190,201400,1,1
047M,43,2018,8,1,CHAIN,381946,201669,1,1
047N,34,2009,21,1,COLLIERSWOOD,382931,200706,1,1
047P,33,2008,9,1,LAURELS,381180,201357,1,1
047P,34,2009,6,1,RABBIT,380856,201662,1,1
047P,35,2010,10,1,SEPTICTANK,381357,201285,1,1
047R,29,2004,7,1,BOXWOOD,381241,201774,2,1
047R,30,2005,7,1,BOXWOOD,381241,201774,3,1
047V,40,2015,17,1,OLDOAK,382624,201274,2,1
047V,41,2016,17,1,OLDOAK,382624,201274,1,1
047W,30,2005,16,1,PEGLARS,382355,200596,2,1
047W,32,2007,15,1,KENNEL,382464,200922,1,1
047W,35,2010,15,1,KENNEL,382464,200922,1,1
047Y,32,2007,999,2,HEDGE,381350,200278,2,1
047Y,33,2008,999,2,HEDGE,381350,200278,2,1
048A,39,2014,2,1,BOX,380621,201409,2,1
048A,40,2015,2,1,LARCH,380541,201242,2,1
048A,41,2016,2,1,LARCH,380541,201242,1,1
048A,43,2018,2,1,BOX,380621,201409,1,1
048A,44,2019,2,1,LARCH,380541,201242,1,1
048B,31,2006,1,1,WEST,380190,201400,2,1
048B,32,2007,1,1,WEST,380190,201400,2,1
048E,38,2013,999,2,INCHBROOK,384013,200739,1,1
048G,28,2003,2,1,LARCH,380541,201242,1,1
048K,37,2012,1,1,WEST,380190,201400,1,1
048M,43,2018,20,1,SCOTLANDBANK,383412,200931,2,1
048N,34,2009,21,1,COLLIERSWOOD,382931,200706,1,1
048P,33,2008,11,1,YEW,381619,201268,2,1
048P,34,2009,11,1,YEW,381619,201268,1,1
048R,29,2004,14,1,COLEPARK,382049,201493,1,1
048R,30,2005,14,1,COLEPARK,382049,201493,3,1
048V,40,2015,2,1,LARCH,380541,201242,1,2
048V,41,2016,2,1,BOX,380621,201409,1,2
048V,42,2017,2,1,LARCH,380541,201242,2,2
048V,43,2018,2,1,BOX,380621,201409,1,2
048V,44,2019,2,1,BOX,380621,201409,1,2
048W,30,2005,16,1,PEGLARS,382355,200596,2,1
048W,31,2006,16,1,PEGLARS,382355,200596,2,1
048W,32,2007,15,1,KENNEL,382464,200922,1,1
048W,33,2008,15,1,KENNEL,382464,200922,1,1
048Y,32,2007,999,2,HEDGE,381350,200278,2,1
048Y,33,2008,999,2,HEDGE,381350,200278,1,1
049A,39,2014,4,1,ARTHURS,380534,200550,1,1
049A,40,2015,4,1,MEAD,380390,200637,2,1
049A,41,2016,4,1,MEAD,380390,200637,1,1
049A,42,2017,4,1,MEAD,380390,200637,1,1
049B,31,2006,2,1,BOX,380621,201409,1,1
049B,32,2007,2,1,BOX,380621,201409,2,1
049B,33,2008,2,1,BOX,380621,201409,3,1
049B,34,2009,2,1,BOX,380621,201409,1,1
049B,35,2010,2,1,BOX,380621,201409,1,1
049B,36,2011,2,1,BOX,380621,201409,1,1
049B,37,2012,2,1,BOX,380621,201409,1,1
049B,39,2014,2,1,BOX,380621,201409,1,1
049B,40,2015,2,1,LARCH,380541,201242,1,1
049E,38,2013,22,1,WOODFARM,383337,200429,1,1
049E,39,2014,22,1,WOODFARM,383337,200429,2,1
049E,40,2015,22,1,WOODFARM,383337,200429,1,1
049E,41,2016,22,1,WOODFARM,383337,200429,1,1
049G,28,2003,2,1,LARCH,380541,201242,1,1
049M,43,2018,2,1,BOX,380621,201409,1,1
049M,44,2019,2,1,BOX,380621,201409,2,1
049N,34,2009,5,1,JACKSMIREY,380678,200030,1,1
049P,33,2008,11,1,YEW,381619,201268,1,1
049P,34,2009,11,1,TAXUS,381737,201220,2,1
049P,35,2010,11,1,TAXUS,381737,201220,2,1
049P,36,2011,11,1,YEW,381619,201268,2,1
049P,37,2012,12,1,TOP,381795,200962,1,1
049P,38,2013,3,1,BEECH,380931,201164,1,1
049R,29,2004,7,1,BOXWOOD,381241,201774,2,1
049R,30,2005,7,1,BOXWOOD,381241,201774,1,1
049V,40,2015,2,1,LARCH,380541,201242,1,1
049V,41,2016,2,1,LARCH,380541,201242,2,1
049V,42,2017,2,1,BOX,380621,201409,1,1
049V,43,2018,2,1,BOX,380621,201409,1,1
049W,30,2005,10,1,FERN,381314,201301,1,1
049W,32,2007,10,1,HUNTINGGATE,381247,201345,2,1
049W,34,2009,6,1,RABBIT,380856,201662,1,1
049W,35,2010,6,1,RABBIT,380856,201662,1,1
049Y,32,2007,1,1,WEST,380190,201400,1,1
049Y,33,2008,1,1,WEST,380190,201400,1,1
049Y,34,2009,1,1,WEST,380190,201400,1,1
049Y,36,2011,1,1,WEST,380190,201400,1,1
049Y,40,2015,1,1,WEST,380190,201400,1,1
050A,39,2014,2,1,BOX,380621,201409,2,1
050A,40,2015,3,1,BEECH,380931,201164,1,1
050A,41,2016,2,1,LARCH,380541,201242,1,1
050A,42,2017,3,1,CHESNUT,380834,201150,1,1
050B,31,2006,4,1,THISTLEWOODBANK,381109,200408,1,1
050E,38,2013,21,1,COLLIERSWOOD,382931,200706,1,1
050G,28,2003,2,1,LARCH,380541,201242,2,1
050G,29,2004,2,1,BOX,380621,201409,2,1
050G,31,2006,2,1,LARCH,380541,201242,1,1
050G,32,2007,2,1,BOX,380621,201409,1,1
050G,33,2008,2,1,BOX,380621,201409,2,1
050G,34,2009,2,1,BOX,380621,201409,1,1
050G,35,2010,2,1,BOX,380621,201409,1,1
050G,36,2011,2,1,BOX,380621,201409,2,1
050K,37,2012,22,1,WOODFARM,383337,200429,2,2
050K,38,2013,22,1,WOODFARM,383337,200429,2,2
050K,39,2014,22,1,WOODFARM,383337,200429,1,2
050K,40,2015,22,1,WOODFARM,383337,200429,1,2
050M,43,2018,2,1,BOX,380621,201409,1,1
050M,44,2019,2,1,BOX,380621,201409,2,1
050N,34,2009,5,1,JACKSMIREY,380678,200030,1,1
050N,35,2010,5,1,JACKSMIREY,380678,200030,2,1
050N,37,2012,5,1,JACKSMIREY,380678,200030,1,1
050P,33,2008,16,1,PEGLARS,382355,200596,1,1
050R,29,2004,7,1,BOXWOOD,381241,201774,1,1
050R,30,2005,7,1,BOXWOOD,381241,201774,1,1
050V,40,2015,999,2,HOPPER,383666,200473,1,2
050W,30,2005,10,1,SEPTICTANK,381357,201285,2,1
050W,31,2006,9,1,BRACKEN,381157,201365,1,1
050W,32,2007,9,1,LAURELS,381180,201357,1,1
050Y,32,2007,1,1,WEST,380190,201400,1,1
050Y,33,2008,1,1,WEST,380190,201400,1,1
050Y,34,2009,1,1,WEST,380190,201400,1,1
051A,39,2014,16,1,WOODRUSH,382713,200607,1,1
051A,40,2015,16,1,WOODRUSH,382713,200607,1,1
051B,31,2006,2,1,BOX,380621,201409,1,1
051B,32,2007,2,1,BOX,380621,201409,2,1
051B,33,2008,2,1,BOX,380621,201409,2,1
051B,34,2009,2,1,BOX,380621,201409,1,1
051E,38,2013,7,1,BREAKHEART,381370,201620,1,1
051E,39,2014,7,1,BOXWOOD,381241,201774,2,1
051G,28,2003,1,1,WEST,380190,201400,2,1
051K,37,2012,16,1,WOODRUSH,382713,200607,2,2
051K,38,2013,15,1,KENNEL,382464,200922,2,2
051K,39,2014,15,1,KENNEL,382464,200922,1,2
051K,40,2015,15,1,WYCHELM,382074,201085,1,2
051M,43,2018,3,1,CHESNUT,380834,201150,1,1
051M,44,2019,3,1,CHESNUT,380834,201150,3,1
051N,34,2009,1,1,WEST,380190,201400,1,1
051N,35,2010,1,1,WEST,380190,201400,2,1
051N,36,2011,1,1,WEST,380190,201400,1,1
051P,33,2008,16,1,PEGLARS,382355,200596,1,1
051P,34,2009,15,1,KENNEL,382464,200922,2,1
051R,29,2004,20,1,PARKMILL,383730,200924,1,1
051R,32,2007,20,1,PARKMILL,383730,200924,1,1
051R,33,2008,20,1,PARKMILL,383730,200924,2,1
051R,34,2009,20,1,PARKMILL,383730,200924,1,1
051V,40,2015,999,2,WINDSOREDGE,383635,200531,1,2
051Y,32,2007,1,1,WEST,380190,201400,1,1
052A,39,2014,999,2,WINDSOREDGE,383635,200531,1,1
052A,40,2015,999,2,WINDSOREDGE,383635,200531,2,1
052A,41,2016,999,2,WINDSOREDGE,383635,200531,1,1
052B,31,2006,999,2,HEDGE,381350,200278,2,1
052B,32,2007,999,2,HEDGE,381350,200278,1,1
052E,38,2013,20,1,PARKMILL,383730,200924,1,1
052E,40,2015,20,1,PARKMILL,383730,200924,1,1
052G,28,2003,3,1,BEECH,380931,201164,1,1
052K,37,2012,15,1,KENNEL,382464,200922,1,2
052K,38,2013,16,1,WOODRUSH,382713,200607,2,2
052K,39,2014,16,1,WOODRUSH,382713,200607,1,2
052M,43,2018,3,1,BEECH,380931,201164,1,1
052M,44,2019,3,1,BEECH,380931,201164,1,1
052N,34,2009,6,1,CEDAR,381022,201589,1,1
052N,35,2010,10,1,FERN,381314,201301,1,1
052N,36,2011,9,1,LAURELS,381180,201357,2,1
052P,33,2008,999,2,WINDSOREDGE,383635,200531,2,1
052R,29,2004,20,1,PARKMILL,383730,200924,1,1
052W,30,2005,11,1,TAXUS,381737,201220,1,1
052W,31,2006,15,1,POPLAR,382132,201047,2,1
052W,32,2007,15,1,POPLAR,382132,201047,3,1
052W,33,2008,15,1,WYCHELM,382074,201085,2,1
052W,34,2009,15,1,WYCHELM,382074,201085,2,1
052W,35,2010,11,1,TAXUS,381737,201220,1,1
052Y,32,2007,999,2,HEDGE,381350,200278,2,1
052Y,33,2008,4,1,THISTLEWOODBANK,381109,200408,1,1
052Y,34,2009,4,1,JUNCTION,380841,200432,1,1
052Y,35,2010,4,1,JUNCTION,380841,200432,1,1
053A,39,2014,7,1,BREAKHEART,381370,201620,1,1
053B,31,2006,5,1,JACKSMIREY,380678,200030,2,1
053B,32,2007,5,1,JACKSMIREY,380678,200030,1,1
053G,28,2003,3,1,BEECH,380931,201164,1,1
053K,37,2012,17,1,OLDOAK,382624,201274,1,1
053K,38,2013,17,1,OLDOAK,382624,201274,2,1
053K,39,2014,15,1,POPLAR,382132,201047,1,1
053K,40,2015,17,1,TOPOAK,382616,201525,1,1
053K,41,2016,15,1,POPLAR,382132,201047,2,1
053K,42,2017,15,1,POPLAR,382132,201047,2,1
053K,44,2019,15,1,KENNEL,382464,200922,1,1
053M,43,2018,3,1,BEECH,380931,201164,1,1
053M,44,2019,3,1,CHESNUT,380834,201150,1,1
053N,34,2009,17,1,OLDOAK,382624,201274,1,1
053N,35,2010,17,1,OLDOAK,382624,201274,2,1
053P,33,2008,999,2,WINDSOREDGE,383635,200531,2,1
053P,34,2009,999,2,WINDSOREDGE,383635,200531,2,1
053R,29,2004,999,2,INCHBROOK,384013,200739,2,1
053R,30,2005,999,2,INCHBROOK,384013,200739,1,1
053R,31,2006,999,2,INCHBROOK,384013,200739,1,1
053W,30,2005,11,1,TAXUS,381737,201220,1,1
053W,31,2006,15,1,POPLAR,382132,201047,1,1
053Y,32,2007,1,1,BUCKHOLT,379874,201435,1,1
053Y,35,2010,1,1,WEST,380190,201400,1,1
054A,39,2014,14,1,OLDCOLEPARK,382142,201424,1,1
054A,40,2015,14,1,COLEPARK,382049,201493,2,1
054A,41,2016,14,1,COLEPARK,382049,201493,2,1
054A,42,2017,14,1,COLEPARK,382049,201493,1,1
054B,31,2006,16,1,PEGLARS,382355,200596,1,1
054B,32,2007,16,1,PEGLARS,382355,200596,1,1
054G,28,2003,11,1,TAXUS,381737,201220,2,1
054G,29,2004,12,1,TOP,381795,200962,2,1
054G,31,2006,15,1,WYCHELM,382074,201085,2,1
054G,32,2007,15,1,POPLAR,382132,201047,2,1
054G,33,2008,11,1,TAXUS,381737,201220,1,1
054K,37,2012,17,1,OLDOAK,382624,201274,2,1
054K,38,2013,17,1,OLDOAK,382624,201274,3,1
054K,39,2014,17,1,OLDOAK,382624,201274,3,1
054K,40,2015,17,1,OLDOAK,382624,201274,4,1
054K,41,2016,17,1,OLDOAK,382624,201274,1,1
054M,43,2018,11,1,YEW,381619,201268,1,1
054N,34,2009,20,1,PARKMILL,383730,200924,1,1
054N,35,2010,20,1,PARKMILL,383730,200924,2,1
054P,33,2008,999,2,WINDSOREDGE,383635,200531,1,1
054P,34,2009,999,2,WINDSOREDGE,383635,200531,1,1
054P,35,2010,999,2,WINDSOREDGE,383635,200531,1,1
054R,29,2004,6,1,CEDAR,381022,201589,1,1
054R,30,2005,6,1,RABBIT,380856,201662,2,1
054W,30,2005,11,1,TAXUS,381737,201220,1,1
054W,31,2006,11,1,TAXUS,381737,201220,1,1
054W,32,2007,11,1,YEW,381619,201268,2,1
054W,33,2008,11,1,TAXUS,381737,201220,1,1
054W,34,2009,11,1,YEW,381619,201268,1,1
054Y,32,2007,5,1,JACKSMIREY,380678,200030,1,1
054Y,33,2008,5,1,JACKSMIREY,380678,200030,2,1
055A,39,2014,999,2,INCHBROOK,384013,200739,1,1
055A,40,2015,999,2,INCHBROOK,384013,200739,2,1
055A,41,2016,999,2,INCHBROOK,384013,200739,2,1
055A,42,2017,999,2,INCHBROOK,384013,200739,1,1
055A,43,2018,999,2,INCHBROOK,384013,200739,1,1
055B,31,2006,11,1,YEW,381619,201268,1,1
055B,32,2007,11,1,YEW,381619,201268,2,1
055B,33,2008,11,1,TAXUS,381737,201220,1,1
055B,34,2009,12,1,TOP,381795,200962,1,1
055G,28,2003,15,1,KENNEL,382464,200922,1,1
055G,29,2004,15,1,KENNEL,382464,200922,2,1
055G,30,2005,15,1,POPLAR,382132,201047,1,1
055G,31,2006,8,1,HONEYWELL,381931,201706,1,1
055G,32,2007,8,1,BEND,381942,201770,1,1
055M,43,2018,8,1,HONEYWELL,381931,201706,1,1
055M,44,2019,8,1,HONEYWELL,381931,201706,2,1
055N,34,2009,20,1,PARKMILL,383730,200924,1,1
055N,35,2010,20,1,PARKMILL,383730,200924,2,1
055P,33,2008,8,1,HONEYWELL,381931,201706,1,1
055P,34,2009,8,1,BEND,381942,201770,1,1
055R,29,2004,6,1,RABBIT,380856,201662,2,1
055R,30,2005,6,1,FOX,381016,201635,1,1
055R,31,2006,6,1,CEDAR,381022,201589,1,1
055R,32,2007,6,1,RABBIT,380856,201662,1,1
055R,34,2009,6,1,CEDAR,381022,201589,1,1
055R,35,2010,6,1,FOX,381016,201635,1,1
055W,30,2005,12,1,TOP,381795,200962,2,1
055Y,32,2007,11,1,TAXUS,381737,201220,1,1
055Y,33,2008,11,1,YEW,381619,201268,1,1
055Y,35,2010,12,1,TOP,381795,200962,1,1
055Y,36,2011,12,1,TOP,381795,200962,1,1
055Y,37,2012,12,1,TOP,381795,200962,1,1
056A,39,2014,999,2,INCHBROOK,384013,200739,1,1
056A,40,2015,999,2,INCHBROOK,384013,200739,1,1
056B,31,2006,11,1,TAXUS,381737,201220,2,1
056B,32,2007,11,1,TAXUS,381737,201220,2,1
056B,33,2008,12,1,TOP,381795,200962,2,1
056B,34,2009,11,1,YEW,381619,201268,1,1
056B,35,2010,12,1,TOP,381795,200962,1,1
056B,36,2011,12,1,TOP,381795,200962,2,1
056E,38,2013,999,2,INCHBROOK,384013,200739,1,1
056E,39,2014,999,2,INCHBROOK,384013,200739,1,1
056G,28,2003,6,1,RABBIT,380856,201662,1,1
056M,43,2018,18,1,NETTLE,383024,201142,1,1
056M,44,2019,18,1,NETTLE,383024,201142,1,1
056N,34,2009,999,2,INCHBROOK,384013,200739,1,1
056P,33,2008,17,1,OLDOAK,382624,201274,2,1
056P,34,2009,17,1,OLDOAK,382624,201274,2,1
056P,35,2010,17,1,OLDOAK,382624,201274,1,1
056R,29,2004,18,1,NETTLE,383024,201142,1,2
056W,30,2005,10,1,FERN,381314,201301,2,1
056W,31,2006,6,1,CEDAR,381022,201589,1,1
056W,32,2007,13,1,OLDPONDDRAIN,381503,201484,1,1
056W,33,2008,10,1,SEPTICTANK,381357,201285,1,1
056W,35,2010,10,1,SEPTICTANK,381357,201285,1,1
056Y,32,2007,22,1,WOODFARM,383337,200429,2,1
056Y,33,2008,22,1,WOODFARM,383337,200429,1,1
056Y,34,2009,22,1,WOODFARM,383337,200429,1,1
057B,31,2006,999,2,WINDSOREDGE,383635,200531,2,1
057B,32,2007,999,2,WINDSOREDGE,383635,200531,1,1
057B,33,2008,999,2,WINDSOREDGE,383635,200531,1,1
057G,28,2003,16,1,PEGLARS,382355,200596,1,1
057G,29,2004,16,1,PEGLARS,382355,200596,1,1
057M,43,2018,999,2,WINDSOREDGE,383635,200531,1,1
057N,34,2009,5,1,JACKSMIREY,380678,200030,1,1
057P,33,2008,8,1,HONEYWELL,381931,201706,2,1
057P,34,2009,8,1,BEND,381942,201770,2,1
057P,35,2010,8,1,CHAIN,381946,201669,1,1
057R,29,2004,22,1,WOODFARM,383337,200429,1,1
057R,30,2005,22,1,WOODFARM,383337,200429,1,1
057W,30,2005,22,1,WOODFARM,383337,200429,3,1
057Y,32,2007,21,1,COLLIERSWOOD,382931,200706,2,1
057Y,33,2008,21,1,COLLIERSWOOD,382931,200706,1,1
057Y,35,2010,22,1,WOODFARM,383337,200429,2,1
057Y,36,2011,22,1,WOODFARM,383337,200429,3,1
057Y,37,2012,22,1,WOODFARM,383337,200429,1,1
057Y,38,2013,22,1,WOODFARM,383337,200429,2,1
058B,31,2006,999,2,WINDSOREDGE,383635,200531,1,1
058B,32,2007,999,2,WINDSOREDGE,383635,200531,2,1
058B,33,2008,999,2,WINDSOREDGE,383635,200531,1,1
058G,28,2003,999,2,INCHBROOK,384013,200739,1,1
058M,43,2018,5,1,JACKSMIREY,380678,200030,1,2
058P,33,2008,6,1,CEDAR,381022,201589,2,1
058P,34,2009,6,1,RABBIT,380856,201662,1,1
058R,29,2004,17,1,OLDOAK,382624,201274,2,1
058R,30,2005,17,1,OLDOAK,382624,201274,2,1
058R,31,2006,19,1,DAM,383126,200958,1,1
058R,32,2007,18,1,LINSEED,383011,201367,1,1
058R,33,2008,18,1,NETTLE,383024,201142,2,1
058R,34,2009,18,1,NETTLE,383024,201142,1,1
058R,35,2010,18,1,NETTLE,383024,201142,1,1
058R,36,2011,18,1,HOLLOWTREE,382930,201326,1,1
058R,37,2012,18,1,NETTLE,383024,201142,2,1
058W,30,2005,22,1,WOODFARM,383337,200429,3,1
058W,31,2006,22,1,WOODFARM,383337,200429,1,1
058Y,32,2007,3,1,BEECH,380931,201164,1,1
058Y,33,2008,3,1,BEECH,380931,201164,1,1
058Y,34,2009,3,1,BEECH,380931,201164,1,1
058Y,35,2010,3,1,BEECH,380931,201164,1,1
058Y,36,2011,3,1,BEECH,380931,201164,1,1
058Y,38,2013,4,1,MEAD,380390,200637,1,1
058Y,39,2014,4,1,MEAD,380390,200637,1,1
059B,31,2006,20,1,PARKMILL,383730,200924,2,1
059B,32,2007,20,1,PARKMILL,383730,200924,2,1
059B,34,2009,20,1,PARKMILL,383730,200924,1,1
059B,35,2010,20,1,PARKMILL,383730,200924,1,1
059B,36,2011,20,1,PARKMILL,383730,200924,2,1
059B,37,2012,20,1,PARKMILL,383730,200924,1,1
059G,28,2003,999,2,INCHBROOK,384013,200739,1,1
059G,29,2004,999,2,INCHBROOK,384013,200739,2,1
059M,43,2018,999,2,WINDSOREDGE,383635,200531,1,2
059P,33,2008,6,1,CEDAR,381022,201589,2,1
059P,34,2009,6,1,RABBIT,380856,201662,1,1
059R,29,2004,17,1,OLDOAK,382624,201274,1,1
059R,30,2005,17,1,OLDOAK,382624,201274,2,1
059R,31,2006,18,1,HOLLOWTREE,382930,201326,1,1
059R,32,2007,18,1,HOLLOWTREE,382930,201326,2,1
059W,30,2005,20,1,PARKMILL,383730,200924,1,1
059Y,32,2007,16,1,PEGLARS,382355,200596,1,2
059Y,33,2008,16,1,PEGLARS,382355,200596,1,2
059Y,34,2009,15,1,KENNEL,382464,200922,1,2
060B,31,2006,20,1,PARKMILL,383730,200924,2,1
060B,33,2008,20,1,PARKMILL,383730,200924,1,1
060B,34,2009,20,1,PARKMILL,383730,200924,1,1
060B,36,2011,20,1,PARKMILL,383730,200924,1,1
060G,28,2003,999,2,FIELDFARM,380936,199687,1,1
060G,29,2004,999,2,FIELDFARM,380936,199687,2,1
060M,43,2018,18,1,NETTLE,383024,201142,1,1
060M,44,2019,5,1,JACKSMIREY,380678,200030,1,1
060P,33,2008,17,1,OLDOAK,382624,201274,2,1
060P,34,2009,17,1,OLDOAK,382624,201274,2,1
060P,35,2010,17,1,OLDOAK,382624,201274,1,1
060P,36,2011,17,1,OLDOAK,382624,201274,1,1
060R,29,2004,17,1,OLDOAK,382624,201274,2,1
060R,30,2005,17,1,OLDOAK,382624,201274,1,1
060R,31,2006,19,1,DAM,383126,200958,1,1
060R,32,2007,18,1,HOLLOWTREE,382930,201326,1,1
060R,34,2009,18,1,NETTLE,383024,201142,2,1
060R,35,2010,15,1,KENNEL,382464,200922,1,1
060W,30,2005,20,1,PARKMILL,383730,200924,2,1
060Y,32,2007,3,1,BEECH,380931,201164,1,1
061B,31,2006,8,1,HONEYWELL,381931,201706,1,1
061B,32,2007,8,1,CHAIN,381946,201669,1,1
061B,34,2009,8,1,HONEYWELL,381931,201706,1,1
061G,28,2003,2,1,LARCH,380541,201242,1,1
061G,29,2004,2,1,BOX,380621,201409,1,1
061P,33,2008,999,2,WINDSOREDGE,383635,200531,1,1
061R,29,2004,999,2,WINDSOREDGE,383635,200531,2,1
061W,30,2005,20,1,PARKMILL,383730,200924,3,1
061W,31,2006,20,1,PARKMILL,383730,200924,2,1
061Y,32,2007,3,1,BEECH,380931,201164,1,1
061Y,33,2008,3,1,BEECH,380931,201164,2,1
061Y,34,2009,3,1,BEECH,380931,201164,2,1
061Y,35,2010,3,1,BEECH,380931,201164,2,1
061Y,36,2011,3,1,CHESNUT,380834,201150,1,1
062B,31,2006,999,2,INCHBROOK,384013,200739,2,1
062B,32,2007,999,2,INCHBROOK,384013,200739,1,1
062G,28,2003,2,1,LARCH,380541,201242,1,1
062G,29,2004,2,1,BOX,380621,201409,1,1
062G,32,2007,2,1,LARCH,380541,201242,1,1
062G,33,2008,2,1,BOX,380621,201409,2,1
062G,37,2012,2,1,BOX,380621,201409,1,1
062P,33,2008,2,1,BOX,380621,201409,1,1
062P,34,2009,2,1,BOX,380621,201409,1,1
062R,29,2004,999,2,WINDSOREDGE,383635,200531,1,1
062W,30,2005,18,1,LINSEED,383011,201367,1,1
062W,31,2006,17,1,OLDOAK,382624,201274,2,1
062W,32,2007,14,1,TRACKSIDE,382281,201327,1,1
062W,34,2009,14,1,TRACKSIDE,382281,201327,1,1
062W,35,2010,15,1,POPLAR,382132,201047,1,1
062W,37,2012,14,1,TRACKSIDE,382281,201327,1,1
062W,41,2016,14,1,COLEPARK,382049,201493,1,1
062Y,32,2007,11,1,TAXUS,381737,201220,1,1
062Y,33,2008,11,1,YEW,381619,201268,1,1
063B,31,2006,1,1,WEST,380190,201400,1,1
063B,32,2007,1,1,WEST,380190,201400,1,1
063G,28,2003,16,1,PEGLARS,382355,200596,1,1
063G,29,2004,16,1,PEGLARS,382355,200596,1,1
063P,33,2008,2,1,BOX,380621,201409,1,1
063R,29,2004,999,2,INCHBROOK,384013,200739,2,1
063R,30,2005,999,2,INCHBROOK,384013,200739,1,1
063R,31,2006,999,2,INCHBROOK,384013,200739,1,1
063W,30,2005,17,1,OLDOAK,382624,201274,2,1
063W,31,2006,17,1,OLDOAK,382624,201274,2,1
063W,32,2007,17,1,OLDOAK,382624,201274,2,1
063W,33,2008,17,1,OLDOAK,382624,201274,1,1
063W,34,2009,17,1,OLDOAK,382624,201274,1,1
063W,35,2010,17,1,OLDOAK,382624,201274,1,1
063W,36,2011,17,1,OLDOAK,382624,201274,2,1
063W,37,2012,17,1,OLDOAK,382624,201274,1,1
063W,38,2013,17,1,OLDOAK,382624,201274,1,1
063W,39,2014,17,1,TOPOAK,382616,201525,1,1
063Y,32,2007,20,1,PARKMILL,383730,200924,2,1
063Y,33,2008,20,1,PARKMILL,383730,200924,4,1
063Y,34,2009,20,1,PARKMILL,383730,200924,2,1
063Y,35,2010,20,1,PARKMILL,383730,200924,1,1
063Y,37,2012,20,1,PARKMILL,383730,200924,1,1
063Y,38,2013,20,1,PARKMILL,383730,200924,3,1
063Y,39,2014,20,1,PARKMILL,383730,200924,1,1
063Y,40,2015,20,1,PARKMILL,383730,200924,1,1
063Y,41,2016,20,1,PARKMILL,383730,200924,2,1
063Y,42,2017,20,1,SCOTLANDBANK,383412,200931,1,1
064B,31,2006,1,1,WEST,380190,201400,1,1
064G,28,2003,14,1,COLEPARK,382049,201493,1,2
064G,30,2005,8,1,HONEYWELL,381931,201706,1,2
064P,33,2008,3,1,BEECH,380931,201164,1,1
064P,34,2009,3,1,BEECH,380931,201164,2,1
064P,35,2010,3,1,BEECH,380931,201164,1,1
064P,36,2011,3,1,BEECH,380931,201164,2,1
064R,29,2004,999,2,WINDSOREDGE,383635,200531,2,1
064W,30,2005,7,1,BOXWOOD,381241,201774,2,1
064W,31,2006,7,1,BOXWOOD,381241,201774,2,1
064W,32,2007,7,1,BOXWOOD,381241,201774,2,1
064Y,32,2007,3,1,MANSION,380901,201150,1,1
064Y,33,2008,3,1,BEECH,380931,201164,1,1
064Y,34,2009,3,1,CHESNUT,380834,201150,1,1
065B,31,2006,4,1,JUNCTION,380841,200432,1,1
065B,33,2008,4,1,JUNCTION,380841,200432,1,1
065B,35,2010,4,1,JUNCTION,380841,200432,1,1
065B,36,2011,4,1,JUNCTION,380841,200432,2,1
065G,28,2003,999,2,BOUNDARYCOURT,382916,202222,1,1
065P,33,2008,16,1,WOODRUSH,382713,200607,1,1
065P,34,2009,16,1,WOODRUSH,382713,200607,1,1
065R,29,2004,999,2,INCHBROOK,384013,200739,2,1
