tattoo,primary,primary_year,SG_id,zone,Sett_Clean,x,y,n_loc_obs,entry_group
007Y,32,2007,999,2,HEDGE,381350,200278,2,1
007Y,33,2008,999,2,HEDGE,381350,200278,3,1
007Z,44,2019,20,1,PARKMILL,383730,200924,2,1
008A,39,2014,15,1,KENNEL,382464,200922,3,1
008A,40,2015,15,1,KENNEL,382464,200922,4,1
008B,31,2006,4,1,THISTLEWOODBANK,381109,200408,3,1
008B,32,2007,4,1,THISTLEWOODBANK,381109,200408,1,1
008B,33,2008,4,1,THISTLEWOODBANK,381109,200408,1,1
008B,34,2009,4,1,JUNCTION,380841,200432,1,1
008B,35,2010,4,1,JUNCTION,380841,200432,1,1
008B,36,2011,4,1,JUNCTION,380841,200432,1,1
008C,41,2016,8,1,HONEYWELL,381931,201706,2,1
008E,38,2013,15,1,KENNEL,382464,200922,2,1
008F,35,2010,8,1,BEND,381942,201770,1,1
008G,28,2003,1,1,WEST,380190,201400,1,1
008K,37,2012,11,1,YEW,381619,201268,1,1
008L,36,2011,1,1,WEST,380190,201400,1,1
008L,37,2012,1,1,WEST,380190,201400,1,1
008L,38,2013,1,1,WEST,380190,201400,1,1
008M,43,2018,11,1,YEW,381619,201268,2,1
008M,44,2019,11,1,YEW,381619,201268,2,1
008N,34,2009,4,1,ARTHURS,380534,200550,1,1
008P,33,2008,9,1,LAURELS,381180,201357,2,1
008P,34,2009,6,1,CEDAR,381022,201589,2,1
008P,35,2010,11,1,TAXUS,381737,201220,1,1
008P,36,2011,11,1,TAXUS,381737,201220,1,1
008R,29,2004,4,1,THISTLEWOODBANK,381109,200408,1,1
008T,42,2017,11,1,YEW,381619,201268,2,1
008V,40,2015,4,1,MEAD,380390,200637,1,2
008W,30,2005,4,1,MEAD,380390,200637,2,1
008W,34,2009,4,1,ARTHURS,380534,200550,1,1
008Y,32,2007,11,1,TAXUS,381737,201220,1,1
008Z,44,2019,18,1,LINSEED,383011,201367,2,2
009A,39,2014,15,1,KENNEL,382464,200922,2,1
009B,31,2006,1,1,WEST,380190,201400,3,1
009B,32,2007,1,1,CORRAL,380279,201409,1,1
009C,41,2016,14,1,OAKPILE,382183,201478,3,1
009C,42,2017,14,1,COLEPARK,382049,201493,1,1
009E,38,2013,15,1,KENNEL,382464,200922,1,1
009F,35,2010,7,1,BOXWOOD,381241,201774,2,1
009F,36,2011,7,1,BOXWOOD,381241,201774,2,1
009G,28,2003,1,1,WEST,380190,201400,1,1
009K,37,2012,10,1,SEPTICTANK,381357,201285,2,1
009K,38,2013,3,1,CHESNUT,380834,201150,1,1
009L,36,2011,1,1,WEST,380190,201400,1,1
009L,37,2012,1,1,WEST,380190,201400,2,1
009M,43,2018,11,1,YEW,381619,201268,3,1
009M,44,2019,11,1,YEW,381619,201268,1,1
009N,34,2009,4,1,JUNCTION,380841,200432,2,1
009N,35,2010,4,1,JUNCTION,380841,200432,3,1
009N,36,2011,4,1,JUNCTION,380841,200432,2,1
009N,37,2012,4,1,JUNCTION,380841,200432,1,1
009P,33,2008,15,1,WYCHELM,382074,201085,2,1
009P,34,2009,15,1,POPLAR,382132,201047,3,1
009P,35,2010,15,1,WYCHELM,382074,201085,2,1
009P,36,2011,15,1,KENNEL,382464,200922,2,1
009P,37,2012,16,1,WOODRUSH,382713,200607,2,1
009P,38,2013,15,1,KENNEL,382464,200922,2,1
009P,39,2014,15,1,KENNEL,382464,200922,3,1
009R,29,2004,999,2,HEDGE,381350,200278,3,1
009R,30,2005,999,2,HEDGE,381350,200278,1,1
009R,31,2006,999,2,HEDGE,381350,200278,1,1
009T,42,2017,16,1,WOODRUSH,382713,200607,1,1
009V,40,2015,4,1,JUNCTION,380841,200432,2,2
009W,30,2005,999,2,HEDGE,381350,200278,1,1
009Y,32,2007,3,1,BEECH,380931,201164,1,1
009Z,44,2019,20,1,PARKMILL,383730,200924,3,1
010A,39,2014,21,1,COLLIERSWOOD,382931,200706,2,2
010A,40,2015,21,1,COLLIERSWOOD,382931,200706,1,2
010B,31,2006,16,1,PEGLARS,382355,200596,2,1
010C,41,2016,2,1,LARCH,380541,201242,1,1
010E,38,2013,11,1,YEW,381619,201268,3,1
010E,39,2014,15,1,WYCHELM,382074,201085,2,1
010E,40,2015,11,1,TAXUS,381737,201220,1,1
010F,35,2010,999,2,INCHBROOK,384013,200739,1,1
010F,36,2011,999,2,INCHBROOK,384013,200739,3,1
010F,43,2018,999,2,INCHBROOK,384013,200739,1,1
010G,28,2003,2,1,BOX,380621,201409,1,1
010K,37,2012,15,1,WYCHELM,382074,201085,1,1
010L,36,2011,1,1,WEST,380190,201400,1,1
010L,37,2012,1,1,WEST,380190,201400,1,1
010M,43,2018,16,1,WOODRUSH,382713,200607,2,1
010N,34,2009,4,1,JUNCTION,380841,200432,2,1
010N,35,2010,4,1,JUNCTION,380841,200432,2,1
010N,36,2011,4,1,JUNCTION,380841,200432,1,1
010N,37,2012,4,1,JUNCTION,380841,200432,1,1
010N,38,2013,4,1,JUNCTION,380841,200432,1,1
010P,33,2008,15,1,KENNEL,382464,200922,2,1
010P,34,2009,15,1,KENNEL,382464,200922,1,1
010P,35,2010,15,1,WYCHELM,382074,201085,1,1
010P,36,2011,16,1,FORK,382786,200771,1,1
010P,38,2013,15,1,KENNEL,382464,200922,1,1
010P,39,2014,15,1,KENNEL,382464,200922,2,1
010P,40,2015,15,1,KENNEL,382464,200922,1,1
010R,29,2004,999,2,HEDGE,381350,200278,1,1
010T,42,2017,15,1,KENNEL,382464,200922,2,1
010V,40,2015,5,1,JACKSMIREY,380678,200030,2,2
010V,41,2016,4,1,MEAD,380390,200637,2,2
010W,30,2005,999,2,HOLLYWOOD,381353,199891,1,1
010Y,32,2007,3,1,CHESNUT,380834,201150,2,1
010Y,33,2008,3,1,BEECH,380931,201164,2,1
010Y,34,2009,3,1,BEECH,380931,201164,3,1
010Y,37,2012,6,1,CEDAR,381022,201589,1,1
010Y,38,2013,6,1,CEDAR,381022,201589,1,1
010Z,44,2019,20,1,PARKMILL,383730,200924,3,1
011A,39,2014,22,1,WOODFARM,383337,200429,3,1
011A,40,2015,22,1,WOODFARM,383337,200429,1,1
011B,31,2006,3,1,BEECH,380931,201164,1,1
011B,32,2007,3,1,BEECH,380931,201164,2,1
011B,33,2008,3,1,BEECH,380931,201164,1,1
011C,41,2016,6,1,CEDAR,381022,201589,1,1
011C,42,2017,7,1,BOXWOOD,381241,201774,1,1
