interval_col,tattoo,from_year,to_year,from_primary,to_primary,from_detector_name,to_detector_name,from_x,from_y,to_x,to_y,observed_endpoint_distance_m,has_origin_xy,has_destination_xy
78,005T,2018,2019,43,44,43,44,381016,201635,382420,201405,1422.7143072310757,TRUE,TRUE
79,006A,2014,2015,39,40,39,40,380906,200398,381314,201301,990.8950499422227,TRUE,TRUE
80,006A,2015,2016,40,41,40,41,381314,201301,380936,199687,1657.6730678876338,TRUE,TRUE
81,006A,2016,2017,41,42,41,42,380936,199687,382786,200771,2144.191222815726,TRUE,TRUE
82,006C,2016,2017,41,42,41,42,380936,199687,382786,200771,2144.191222815726,TRUE,TRUE
83,006C,2017,2018,42,43,42,43,382786,200771,381016,201635,1969.6182371210925,TRUE,TRUE
84,006L,2011,2012,36,37,36,37,381314,201015,383237,202222,2270.4136187047507,TRUE,TRUE
85,006L,2012,2013,37,38,37,38,383237,202222,382076,201048,1651.119922961382,TRUE,TRUE
86,006L,2013,2014,38,39,38,39,382076,201048,380906,200398,1338.43191832831,TRUE,TRUE
87,007A,2014,2015,39,40,39,40,380906,200398,381314,201301,990.8950499422227,TRUE,TRUE
88,007A,2015,2016,40,41,40,41,381314,201301,380936,199687,1657.6730678876338,TRUE,TRUE
89,007F,2010,2011,35,36,35,36,383135,202599,381314,201015,2413.523772412445,TRUE,TRUE
90,007F,2011,2012,36,37,36,37,381314,201015,383237,202222,2270.4136187047507,TRUE,TRUE
91,007F,2012,2013,37,38,37,38,383237,202222,382076,201048,1651.119922961382,TRUE,TRUE
92,007F,2013,2014,38,39,38,39,382076,201048,380906,200398,1338.43191832831,TRUE,TRUE
93,007G,2003,2004,28,29,28,29,380834,201150,382049,201493,1262.4872276581652,TRUE,TRUE
94,007G,2004,2005,29,30,29,30,382049,201493,382931,200706,1182.0714868399457,TRUE,TRUE
95,007G,2005,2006,30,31,30,31,382931,200706,380649,201388,2381.7321427902007,TRUE,TRUE
96,007M,2018,2019,43,44,43,44,381016,201635,382420,201405,1422.7143072310757,TRUE,TRUE
97,007M,2019,2020,44,45,44,45,382420,201405,380583,201265,1842.3270610833463,TRUE,TRUE
98,007M,2020,2021,45,46,45,46,380583,201265,382734,202283,2379.7321277824526,TRUE,TRUE
99,008B,2006,2007,31,32,31,32,380649,201388,380279,201409,370.59546678285204,TRUE,TRUE
100,008B,2007,2008,32,33,32,33,380279,201409,382399,200920,2175.6656452681327,TRUE,TRUE
101,008B,2008,2009,33,34,33,34,382399,200920,383126,200958,727.9924450157433,TRUE,TRUE
102,008B,2009,2010,34,35,34,35,383126,200958,383135,202599,1641.0246798875392,TRUE,TRUE
103,008B,2010,2011,35,36,35,36,383135,202599,381314,201015,2413.523772412445,TRUE,TRUE
104,008L,2011,2012,36,37,36,37,381314,201015,383237,202222,2270.4136187047507,TRUE,TRUE
105,008L,2012,2013,37,38,37,38,383237,202222,382076,201048,1651.119922961382,TRUE,TRUE
106,008M,2018,2019,43,44,43,44,381016,201635,382420,201405,1422.7143072310757,TRUE,TRUE
107,008M,2019,2020,44,45,44,45,382420,201405,380583,201265,1842.3270610833463,TRUE,TRUE
108,008P,2008,2009,33,34,33,34,382399,200920,383126,200958,727.9924450157433,TRUE,TRUE
109,008P,2009,2010,34,35,34,35,383126,200958,383135,202599,1641.0246798875392,TRUE,TRUE
110,008P,2010,2011,35,36,35,36,383135,202599,381314,201015,2413.523772412445,TRUE,TRUE
111,008W,2005,2006,30,31,30,31,382931,200706,380649,201388,2381.7321427902007,TRUE,TRUE
112,008W,2006,2007,31,32,31,32,380649,201388,380279,201409,370.59546678285204,TRUE,TRUE
113,008W,2007,2008,32,33,32,33,380279,201409,382399,200920,2175.6656452681327,TRUE,TRUE
114,008W,2008,2009,33,34,33,34,382399,200920,383126,200958,727.9924450157433,TRUE,TRUE
115,009N,2009,2010,34,35,34,35,383126,200958,383135,202599,1641.0246798875392,TRUE,TRUE
116,009N,2010,2011,35,36,35,36,383135,202599,381314,201015,2413.523772412445,TRUE,TRUE
117,009N,2011,2012,36,37,36,37,381314,201015,383237,202222,2270.4136187047507,TRUE,TRUE
118,009P,2008,2009,33,34,33,34,382399,200920,383126,200958,727.9924450157433,TRUE,TRUE
119,009P,2009,2010,34,35,34,35,383126,200958,383135,202599,1641.0246798875392,TRUE,TRUE
120,009P,2010,2011,35,36,35,36,383135,202599,381314,201015,2413.523772412445,TRUE,TRUE
121,009P,2011,2012,36,37,36,37,381314,201015,383237,202222,2270.4136187047507,TRUE,TRUE
122,009P,2012,2013,37,38,37,38,383237,202222,382076,201048,1651.119922961382,TRUE,TRUE
123,009P,2013,2014,38,39,38,39,382076,201048,380906,200398,1338.43191832831,TRUE,TRUE
124,009R,2004,2005,29,30,29,30,382049,201493,382931,200706,1182.0714868399457,TRUE,TRUE
125,009R,2005,2006,30,31,30,31,382931,200706,380649,201388,2381.7321427902007,TRUE,TRUE
126,009Z,2019,2020,44,45,44,45,382420,201405,380583,201265,1842.3270610833463,TRUE,TRUE
127,009Z,2020,2021,45,46,45,46,380583,201265,382734,202283,2379.7321277824526,TRUE,TRUE
128,010E,2013,2014,38,39,38,39,382076,201048,380906,200398,1338.43191832831,TRUE,TRUE
129,010E,2014,2015,39,40,39,40,380906,200398,381314,201301,990.8950499422227,TRUE,TRUE
130,010F,2010,2011,35,36,35,36,383135,202599,381314,201015,2413.523772412445,TRUE,TRUE
131,010F,2011,2012,36,37,36,37,381314,201015,383237,202222,2270.4136187047507,TRUE,TRUE
132,010F,2012,2013,37,38,37,38,383237,202222,382076,201048,1651.119922961382,TRUE,TRUE
133,010F,2013,2014,38,39,38,39,382076,201048,380906,200398,1338.43191832831,TRUE,TRUE
