draw,v7a_total_transitions,v7a_susceptible_origins,v7a_infected_origins,v7a_prop_origins_infected,v7a_badgers_with_infected_origin,v7b_risk_quarters,v7b_badgers_at_risk,v7b_infection_events
256,4382,3837,545,0.12437243267914194,249,13768,1146,177
257,4382,3824,558,0.12733911455956184,252,13723,1143,178
258,4382,3818,564,0.12870835235052488,252,13675,1145,176
259,4382,3830,552,0.1259698767685988,245,13746,1151,163
260,4382,3825,557,0.127110908261068,251,13712,1149,180
261,4382,3819,563,0.12848014605203104,245,13681,1139,168
262,4382,3805,577,0.1316750342309448,258,13650,1141,172
263,4382,3841,541,0.12345960748516659,240,13792,1146,165
264,4382,3821,561,0.12802373345504336,246,13674,1150,177
265,4382,3795,587,0.13395709721588317,264,13619,1135,167
266,4382,3813,569,0.12984938384299408,251,13678,1142,176
267,4382,3807,575,0.1312186216339571,245,13663,1137,160
268,4382,3816,566,0.12916476494751256,256,13658,1139,177
269,4382,3802,580,0.13235965312642628,254,13614,1148,183
270,4382,3827,555,0.12665449566408032,245,13728,1146,171
271,4382,3832,550,0.12551346417161113,242,13736,1148,181
272,4382,3845,537,0.12254678229119123,245,13806,1146,174
273,4382,3812,570,0.1300775901414879,255,13686,1141,174
274,4382,3829,553,0.12619808306709265,244,13719,1145,167
275,4382,3830,552,0.1259698767685988,248,13713,1143,175
276,4382,3789,593,0.13532633500684618,260,13587,1139,169
277,4382,3838,544,0.1241442263806481,238,13753,1150,177
278,4382,3807,575,0.1312186216339571,251,13675,1137,167
279,4382,3828,554,0.1264262893655865,253,13741,1142,173
280,4382,3826,556,0.12688270196257417,252,13740,1138,162
281,4382,3792,590,0.13464171611136466,258,13582,1140,170
282,4382,3806,576,0.13144682793245094,252,13652,1143,160
283,4382,3798,584,0.13327247832040165,257,13607,1148,182
284,4382,3815,567,0.12939297124600638,249,13671,1147,171
285,4382,3805,577,0.1316750342309448,264,13659,1141,174
286,4382,3832,550,0.12551346417161113,241,13739,1150,171
287,4382,3803,579,0.13213144682793246,259,13644,1139,172
288,4382,3827,555,0.12665449566408032,235,13733,1146,163
289,4382,3833,549,0.1252852578731173,249,13732,1158,182
290,4382,3846,536,0.1223185759926974,242,13785,1146,162
291,4382,3832,550,0.12551346417161113,248,13721,1149,181
292,4382,3804,578,0.1319032405294386,255,13640,1143,172
293,4382,3834,548,0.12505705157462346,248,13755,1147,169
294,4382,3836,546,0.12460063897763578,238,13761,1151,159
295,4382,3803,579,0.13213144682793246,258,13654,1138,167
296,4382,3812,570,0.1300775901414879,251,13671,1141,165
297,4382,3832,550,0.12551346417161113,248,13748,1150,179
298,4382,3819,563,0.12848014605203104,258,13703,1140,179
299,4382,3828,554,0.1264262893655865,246,13730,1136,155
300,4382,3842,540,0.12323140118667275,240,13779,1148,160
301,4382,3821,561,0.12802373345504336,247,13699,1143,167
302,4382,3796,586,0.13372889091738932,257,13625,1139,172
303,4382,3834,548,0.12505705157462346,247,13730,1154,178
304,4382,3816,566,0.12916476494751256,251,13689,1141,166
305,4382,3823,559,0.1275673208580557,247,13707,1152,171
306,4382,3826,556,0.12688270196257417,244,13722,1143,158
307,4382,3834,548,0.12505705157462346,249,13768,1147,172
308,4382,3828,554,0.1264262893655865,252,13751,1143,166
309,4382,3815,567,0.12939297124600638,246,13672,1144,167
310,4382,3838,544,0.1241442263806481,258,13765,1142,186
311,4382,3812,570,0.1300775901414879,249,13672,1143,172
312,4382,3818,564,0.12870835235052488,250,13681,1149,176
313,4382,3823,559,0.1275673208580557,243,13725,1139,156
314,4382,3793,589,0.13441350981287084,255,13607,1143,173
315,4382,3855,527,0.12026471930625285,250,13835,1147,164
316,4382,3815,567,0.12939297124600638,252,13692,1147,170
317,4382,3810,572,0.13053400273847557,255,13664,1141,169
318,4382,3832,550,0.12551346417161113,247,13738,1145,163
319,4382,3820,562,0.1282519397535372,242,13680,1145,168
320,4382,3831,551,0.12574167047010498,250,13743,1142,175
321,4382,3809,573,0.13076220903696942,251,13675,1140,165
322,4382,3832,550,0.12551346417161113,252,13737,1152,175
323,4382,3818,564,0.12870835235052488,255,13676,1142,173
324,4382,3821,561,0.12802373345504336,252,13694,1151,175
325,4382,3814,568,0.12962117754450023,248,13664,1135,163
326,4382,3817,565,0.1289365586490187,247,13669,1142,162
327,4382,3839,543,0.12391602008215427,244,13785,1145,159
328,4382,3801,581,0.13258785942492013,261,13672,1139,172
329,4382,3804,578,0.1319032405294386,258,13665,1141,166
330,4382,3832,550,0.12551346417161113,244,13763,1138,159
331,4382,3816,566,0.12916476494751256,259,13691,1143,170
332,4382,3819,563,0.12848014605203104,251,13687,1147,182
333,4382,3817,565,0.1289365586490187,247,13687,1146,165
334,4382,3836,546,0.12460063897763578,239,13751,1146,156
335,4382,3803,579,0.13213144682793246,252,13646,1142,166
336,4382,3807,575,0.1312186216339571,246,13672,1139,163
337,4382,3818,564,0.12870835235052488,257,13698,1140,174
338,4382,3799,583,0.1330442720219078,257,13642,1140,167
339,4382,3788,594,0.13555454130534003,259,13582,1127,169
340,4382,3832,550,0.12551346417161113,254,13735,1149,182
341,4382,3806,576,0.13144682793245094,258,13662,1139,168
342,4382,3825,557,0.127110908261068,250,13709,1152,173
343,4382,3811,571,0.13030579643998175,254,13685,1145,176
344,4382,3811,571,0.13030579643998175,248,13667,1140,165
345,4382,3823,559,0.1275673208580557,252,13723,1139,168
346,4382,3794,588,0.134185303514377,259,13596,1141,175
347,4382,3838,544,0.1241442263806481,240,13761,1151,178
348,4382,3839,543,0.12391602008215427,238,13742,1149,172
349,4382,3820,562,0.1282519397535372,249,13726,1144,161
350,4382,3804,578,0.1319032405294386,245,13630,1148,182
351,4382,3838,544,0.1241442263806481,251,13755,1149,174
352,4382,3826,556,0.12688270196257417,249,13740,1132,162
353,4382,3838,544,0.1241442263806481,243,13752,1147,166
354,4382,3835,547,0.12482884527612963,247,13743,1152,184
355,4382,3844,538,0.12277498858968508,244,13791,1155,176
356,4382,3805,577,0.1316750342309448,245,13630,1139,172
357,4382,3823,559,0.1275673208580557,252,13729,1139,166
358,4382,3814,568,0.12962117754450023,251,13675,1149,179
359,4382,3810,572,0.13053400273847557,256,13687,1143,170
360,4382,3853,529,0.12072113190324053,240,13794,1151,176
361,4382,3821,561,0.12802373345504336,259,13719,1145,175
362,4382,3824,558,0.12733911455956184,249,13704,1154,179
363,4382,3812,570,0.1300775901414879,251,13682,1137,166
364,4382,3821,561,0.12802373345504336,256,13714,1138,164
365,4382,3818,564,0.12870835235052488,249,13700,1139,158
366,4382,3836,546,0.12460063897763578,256,13769,1145,173
367,4382,3829,553,0.12619808306709265,246,13739,1146,171
368,4382,3836,546,0.12460063897763578,236,13769,1148,168
369,4382,3855,527,0.12026471930625285,239,13827,1149,157
370,4382,3817,565,0.1289365586490187,251,13699,1140,177
371,4382,3841,541,0.12345960748516659,252,13766,1150,182
372,4382,3819,563,0.12848014605203104,261,13717,1141,171
373,4382,3826,556,0.12688270196257417,241,13723,1149,163
374,4382,3820,562,0.1282519397535372,253,13689,1143,180
375,4382,3828,554,0.1264262893655865,247,13729,1144,165
376,4382,3821,561,0.12802373345504336,256,13706,1145,170
377,4382,3820,562,0.1282519397535372,252,13703,1142,170
378,4382,3793,589,0.13441350981287084,252,13611,1143,165
379,4382,3801,581,0.13258785942492013,249,13612,1147,173
380,4382,3813,569,0.12984938384299408,263,13685,1140,173
381,4382,3832,550,0.12551346417161113,244,13739,1150,177
382,4382,3817,565,0.1289365586490187,250,13698,1147,181
383,4382,3806,576,0.13144682793245094,258,13628,1146,188
384,4382,3811,571,0.13030579643998175,248,13667,1142,163
385,4382,3819,563,0.12848014605203104,255,13689,1151,179
386,4382,3836,546,0.12460063897763578,244,13753,1156,177
387,4382,3807,575,0.1312186216339571,253,13646,1143,172
388,4382,3806,576,0.13144682793245094,254,13646,1138,170
389,4382,3837,545,0.12437243267914194,249,13783,1138,160
390,4382,3816,566,0.12916476494751256,251,13707,1141,163
391,4382,3837,545,0.12437243267914194,242,13759,1150,173
392,4382,3822,560,0.12779552715654952,250,13702,1147,171
393,4382,3814,568,0.12962117754450023,251,13669,1152,183
394,4382,3806,576,0.13144682793245094,252,13650,1142,166
395,4382,3812,570,0.1300775901414879,250,13667,1145,171
396,4382,3825,557,0.127110908261068,254,13719,1144,176
397,4382,3820,562,0.1282519397535372,247,13694,1145,167
398,4382,3861,521,0.11889548151528982,242,13819,1148,177
399,4382,3819,563,0.12848014605203104,250,13704,1145,167
400,4382,3813,569,0.12984938384299408,251,13691,1141,171
401,4382,3827,555,0.12665449566408032,243,13707,1151,170
402,4382,3813,569,0.12984938384299408,248,13662,1151,180
403,4382,3794,588,0.134185303514377,253,13603,1152,173
404,4382,3845,537,0.12254678229119123,241,13811,1149,171
405,4382,3820,562,0.1282519397535372,256,13717,1141,173
406,4382,3821,561,0.12802373345504336,250,13718,1141,164
407,4382,3860,522,0.11912368781378366,241,13876,1147,166
408,4382,3824,558,0.12733911455956184,256,13732,1136,162
409,4382,3818,564,0.12870835235052488,257,13707,1139,172
410,4382,3835,547,0.12482884527612963,244,13763,1142,165
411,4382,3834,548,0.12505705157462346,233,13740,1152,181
412,4382,3803,579,0.13213144682793246,259,13646,1137,168
413,4382,3814,568,0.12962117754450023,257,13697,1144,168
414,4382,3846,536,0.1223185759926974,237,13783,1146,174
415,4382,3830,552,0.1259698767685988,252,13727,1145,173
416,4382,3834,548,0.12505705157462346,242,13746,1140,170
417,4382,3793,589,0.13441350981287084,261,13599,1139,175
418,4382,3838,544,0.1241442263806481,248,13775,1140,161
419,4382,3823,559,0.1275673208580557,243,13713,1145,165
420,4382,3833,549,0.1252852578731173,245,13741,1144,166
421,4382,3824,558,0.12733911455956184,252,13726,1149,171
422,4382,3838,544,0.1241442263806481,243,13764,1148,163
423,4382,3802,580,0.13235965312642628,269,13660,1136,169
424,4382,3811,571,0.13030579643998175,252,13658,1141,172
425,4382,3830,552,0.1259698767685988,252,13740,1147,165
426,4382,3854,528,0.1204929256047467,241,13800,1151,183
427,4382,3817,565,0.1289365586490187,249,13683,1144,170
428,4382,3834,548,0.12505705157462346,250,13748,1146,173
429,4382,3805,577,0.1316750342309448,249,13625,1146,179
430,4382,3806,576,0.13144682793245094,255,13620,1144,172
431,4382,3828,554,0.1264262893655865,247,13718,1147,168
432,4382,3836,546,0.12460063897763578,244,13777,1145,163
433,4382,3811,571,0.13030579643998175,257,13644,1144,177
434,4382,3851,531,0.1211775445002282,249,13809,1148,177
435,4382,3825,557,0.127110908261068,246,13728,1146,162
436,4382,3834,548,0.12505705157462346,247,13741,1151,170
437,4382,3794,588,0.134185303514377,252,13606,1142,172
438,4382,3843,539,0.12300319488817892,242,13781,1147,167
439,4382,3841,541,0.12345960748516659,250,13764,1151,177
440,4382,3817,565,0.1289365586490187,264,13706,1142,177
441,4382,3819,563,0.12848014605203104,258,13698,1147,179
442,4382,3828,554,0.1264262893655865,245,13730,1146,162
443,4382,3823,559,0.1275673208580557,234,13688,1154,171
444,4382,3828,554,0.1264262893655865,251,13725,1137,171
445,4382,3839,543,0.12391602008215427,253,13752,1151,175
446,4382,3830,552,0.1259698767685988,243,13729,1153,170
447,4382,3834,548,0.12505705157462346,241,13763,1146,177
448,4382,3814,568,0.12962117754450023,252,13682,1143,173
449,4382,3841,541,0.12345960748516659,243,13772,1148,157
450,4382,3826,556,0.12688270196257417,245,13715,1144,171
451,4382,3804,578,0.1319032405294386,257,13650,1143,170
452,4382,3801,581,0.13258785942492013,256,13642,1133,166
453,4382,3830,552,0.1259698767685988,247,13745,1148,170
454,4382,3833,549,0.1252852578731173,249,13747,1143,156
455,4382,3821,561,0.12802373345504336,261,13707,1140,171
456,4382,3822,560,0.12779552715654952,249,13719,1132,163
457,4382,3798,584,0.13327247832040165,253,13636,1143,161
458,4382,3823,559,0.1275673208580557,244,13719,1145,168
459,4382,3820,562,0.1282519397535372,261,13681,1142,180
460,4382,3826,556,0.12688270196257417,242,13712,1144,165
461,4382,3800,582,0.13281606572341398,265,13635,1138,176
462,4382,3848,534,0.12186216339570972,245,13813,1150,180
463,4382,3833,549,0.1252852578731173,245,13755,1151,172
464,4382,3836,546,0.12460063897763578,245,13740,1148,183
465,4382,3813,569,0.12984938384299408,258,13682,1140,174
466,4382,3836,546,0.12460063897763578,243,13795,1145,158
467,4382,3838,544,0.1241442263806481,248,13754,1143,168
468,4382,3845,537,0.12254678229119123,241,13779,1152,171
469,4382,3836,546,0.12460063897763578,247,13750,1148,175
470,4382,3835,547,0.12482884527612963,243,13755,1146,167
471,4382,3832,550,0.12551346417161113,254,13747,1145,164
472,4382,3827,555,0.12665449566408032,248,13701,1143,167
473,4382,3803,579,0.13213144682793246,259,13650,1142,182
474,4382,3818,564,0.12870835235052488,253,13709,1139,172
