tattoo,year,n_year_encounters,n_distinct_setts,n_distinct_socg,annual_socg,annual_sett,annual_x,annual_y,annual_sett_n_encounters,annual_sett_latest_date,has_annual_xy,in_infection_model,in_phase2
021F,2011,3,3,1,BEECH,BEECH,380931,201164,1,2011-09-07,TRUE,TRUE,TRUE
021F,2012,1,1,1,BEECH,MANSION,380901,201150,1,2012-05-29,TRUE,TRUE,TRUE
021G,2003,3,1,1,HONEYWELL,HONEYWELL,381931,201706,3,2003-11-25,TRUE,TRUE,FALSE
021H,2020,2,1,1,INCHBROOK,INCHBROOK,384013,200739,2,2020-10-20,TRUE,TRUE,TRUE
021H,2021,1,1,1,INCHBROOK,INCHBROOK,384013,200739,1,2021-01-13,TRUE,TRUE,TRUE
021H,2023,2,1,1,INCHBROOK,INCHBROOK,384013,200739,2,2023-10-03,TRUE,TRUE,TRUE
021K,2012,3,1,1,WINDSOREDGE,WINDSOREDGE,383635,200531,3,2012-10-16,TRUE,TRUE,FALSE
021L,2011,2,1,1,WOODFARM,WOODFARM,383337,200429,2,2011-09-21,TRUE,TRUE,TRUE
021L,2012,5,1,1,WOODFARM,WOODFARM,383337,200429,5,2012-12-11,TRUE,TRUE,TRUE
021L,2013,1,1,1,WOODFARM,WOODFARM,383337,200429,1,2013-07-30,TRUE,TRUE,TRUE
021L,2014,1,1,1,WOODFARM,WOODFARM,383337,200429,1,2014-08-19,TRUE,TRUE,TRUE
021L,2015,1,1,1,WOODFARM,WOODFARM,383337,200429,1,2015-08-25,TRUE,TRUE,TRUE
021L,2016,1,1,1,WOODFARM,WOODFARM,383337,200429,1,2016-10-04,TRUE,TRUE,TRUE
021L,2017,2,1,1,COLLIERSWOOD,COLLIERSWOOD,382931,200706,2,2017-11-01,TRUE,TRUE,TRUE
021L,2018,1,1,1,COLLIERSWOOD,COLLIERSWOOD,382931,200706,1,2018-01-16,TRUE,TRUE,TRUE
021M,2018,2,1,1,BOXWOOD,BOXWOOD,381241,201774,2,2018-08-21,TRUE,TRUE,FALSE
021N,2009,3,2,1,LARCH,BOX,380621,201409,2,2009-12-15,TRUE,TRUE,FALSE
021P,2008,3,2,1,HONEYWELL,CHAIN,381946,201669,2,2008-11-18,TRUE,TRUE,FALSE
021P,2009,2,2,1,HONEYWELL,CHAIN,381946,201669,1,2009-05-05,TRUE,TRUE,FALSE
021Q,2024,3,3,3,PARKMILL,PARKMILL,383730,200924,1,2024-12-10,TRUE,TRUE,FALSE
021Q,2025,2,2,2,PARKMILL,PYLON,381275,200279,1,2025-10-22,TRUE,TRUE,FALSE
021Q,2026,1,1,0,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE
021R,2004,1,1,1,FIELDFARM,FIELDFARM,380936,199687,1,2004-05-25,TRUE,TRUE,FALSE
021S,2021,2,1,1,YEW,YEW,381619,201268,2,2021-10-06,TRUE,TRUE,FALSE
021S,2022,3,3,2,SEPTICTANK,YEW,381619,201268,1,2022-06-14,TRUE,TRUE,FALSE
021T,2017,3,1,2,BOXWOOD,BOXWOOD,381241,201774,3,2017-11-14,TRUE,TRUE,TRUE
021T,2018,8,7,2,BOXWOOD,CEDAR,381022,201589,2,2018-09-04,TRUE,TRUE,TRUE
021T,2019,4,3,1,CEDAR,CEDAR,381022,201589,2,2019-07-16,TRUE,TRUE,TRUE
021V,2015,3,1,1,YEW,YEW,381619,201268,3,2015-11-10,TRUE,TRUE,TRUE
021V,2016,3,1,1,YEW,YEW,381619,201268,3,2016-10-04,TRUE,TRUE,TRUE
021V,2017,4,2,2,HONEYWELL,HONEYWELL,381931,201706,2,2017-09-05,TRUE,TRUE,TRUE
021V,2018,1,1,1,HONEYWELL,HONEYWELL,381931,201706,1,2018-06-27,TRUE,TRUE,TRUE
021W,2005,2,1,1,HOLLYWOOD,HOLLYWOOD,381353,199891,2,2005-09-14,TRUE,TRUE,FALSE
021Y,2007,4,2,2,KENNEL,KENNEL,382464,200922,3,2007-12-12,TRUE,TRUE,FALSE
021Z,2019,2,1,1,PARKMILL,PYLON,381275,200279,2,2019-10-02,TRUE,TRUE,TRUE
021Z,2020,2,2,2,PARKMILL,SCOTLANDBANK,383412,200931,1,2020-10-20,TRUE,TRUE,TRUE
021Z,2021,2,1,1,PARKMILL,PYLON,381275,200279,2,2021-08-24,TRUE,TRUE,TRUE
021Z,2022,1,1,1,SEPTICTANK,OLDPONDDRAIN,381503,201484,1,2022-08-03,TRUE,TRUE,TRUE
022A,2014,2,1,1,SCOTLANDBANK,SCOTLANDBANK,383412,200931,2,2014-09-09,TRUE,TRUE,TRUE
022A,2015,4,2,2,SCOTLANDBANK,SCOTLANDBANK,383412,200931,3,2015-09-08,TRUE,TRUE,TRUE
022A,2016,1,1,1,COLLIERSWOOD,COLLIERSWOOD,382931,200706,1,2016-05-10,TRUE,TRUE,TRUE
022B,2006,3,2,1,NETTLE,HOLLOWTREE,382930,201326,2,2006-08-15,TRUE,TRUE,TRUE
022B,2007,1,1,1,NETTLE,NETTLE,383024,201142,1,2007-06-06,TRUE,TRUE,TRUE
022B,2010,2,2,1,NETTLE,NETTLE,383024,201142,1,2010-11-30,TRUE,TRUE,TRUE
022B,2012,2,1,1,NETTLE,NETTLE,383024,201142,2,2012-08-14,TRUE,TRUE,TRUE
022B,2013,1,1,1,NETTLE,NETTLE,383024,201142,1,2013-10-22,TRUE,TRUE,TRUE
022C,2016,2,1,1,HONEYWELL,HONEYWELL,381931,201706,2,2016-10-18,TRUE,TRUE,TRUE
022C,2017,2,2,2,HONEYWELL,WINDSOREDGE,383635,200531,1,2017-09-05,TRUE,TRUE,TRUE
022C,2018,1,1,1,HONEYWELL,HONEYWELL,381931,201706,1,2018-10-17,TRUE,TRUE,TRUE
022E,2013,3,2,1,TRACKSIDE,TRACKSIDE,382281,201327,2,2013-10-22,TRUE,TRUE,TRUE
022E,2014,2,1,1,TRACKSIDE,TRACKSIDE,382281,201327,2,2014-11-04,TRUE,TRUE,TRUE
022E,2015,2,2,2,HONEYWELL,HONEYWELL,381931,201706,1,2015-06-23,TRUE,TRUE,TRUE
022E,2016,3,3,2,HONEYWELL,BREAKHEART,381370,201620,1,2016-10-18,TRUE,TRUE,TRUE
022E,2017,1,1,1,HONEYWELL,CHAIN,381946,201669,1,2017-01-25,TRUE,TRUE,TRUE
022F,2010,2,1,1,SEPTICTANK,LAURELS,381180,201357,2,2010-11-16,TRUE,TRUE,TRUE
022F,2011,4,2,1,SEPTICTANK,BRACKEN,381157,201365,2,2011-09-20,TRUE,TRUE,TRUE
022F,2012,1,1,1,SEPTICTANK,HUNTINGGATE,381247,201345,1,2012-08-01,TRUE,TRUE,TRUE
022F,2013,2,2,1,SEPTICTANK,HUNTINGGATE,381247,201345,1,2013-07-30,TRUE,TRUE,TRUE
022G,2003,3,1,1,PARKMILL,PARKMILL,383730,200924,3,2003-11-25,TRUE,TRUE,TRUE
022G,2004,2,1,1,PARKMILL,PARKMILL,383730,200924,2,2004-07-07,TRUE,TRUE,TRUE
022G,2005,3,2,1,PARKMILL,PARKMILL,383730,200924,2,2005-08-17,TRUE,TRUE,TRUE
022G,2006,2,2,2,NETTLE,PARKMILL,383730,200924,1,2006-08-15,TRUE,TRUE,TRUE
022G,2008,1,1,1,PARKMILL,PARKMILL,383730,200924,1,2008-08-19,TRUE,TRUE,TRUE
022G,2009,1,1,1,PARKMILL,PARKMILL,383730,200924,1,2009-05-05,TRUE,TRUE,TRUE
022H,2020,2,2,1,HONEYWELL,HONEYWELL,381931,201706,1,2020-09-02,TRUE,TRUE,FALSE
022K,2012,1,1,1,WINDSOREDGE,WINDSOREDGE,383635,200531,1,2012-06-26,TRUE,TRUE,FALSE
022L,2011,2,1,1,YEW,YEW,381619,201268,2,2011-09-20,TRUE,TRUE,FALSE
022L,2012,2,1,1,YEW,YEW,381619,201268,2,2012-06-13,TRUE,TRUE,FALSE
022M,2018,1,1,1,BOXWOOD,BULLPEN,381230,201693,1,2018-06-26,TRUE,TRUE,FALSE
022N,2009,1,1,1,JACKSMIREY,JACKSMIREY,380678,200030,1,2009-07-21,TRUE,TRUE,TRUE
022N,2010,2,1,1,JACKSMIREY,JACKSMIREY,380678,200030,2,2010-09-07,TRUE,TRUE,TRUE
022N,2011,2,1,1,JACKSMIREY,JACKSMIREY,380678,200030,2,2011-09-06,TRUE,TRUE,TRUE
022N,2012,1,1,1,JACKSMIREY,JACKSMIREY,380678,200030,1,2012-05-30,TRUE,TRUE,TRUE
022P,2008,1,1,1,OLDOAK,OLDOAK,382624,201274,1,2008-06-03,TRUE,TRUE,TRUE
022P,2009,1,1,1,NETTLE,NETTLE,383024,201142,1,2009-05-05,TRUE,TRUE,TRUE
022P,2010,3,2,1,NETTLE,NETTLE,383024,201142,2,2010-10-06,TRUE,TRUE,TRUE
022P,2011,1,1,1,NETTLE,NETTLE,383024,201142,1,2011-05-25,TRUE,TRUE,TRUE
022P,2012,1,1,1,NETTLE,NETTLE,383024,201142,1,2012-08-14,TRUE,TRUE,TRUE
022Q,2024,1,1,1,SCOTLANDBANK,SCOTLANDBANK,383412,200931,1,2024-09-03,TRUE,TRUE,FALSE
022Q,2025,4,2,2,HONEYWELL,HONEYWELL,381931,201706,2,2025-09-09,TRUE,TRUE,FALSE
022Q,2026,2,1,1,OLDOAK,TOPOAK,382616,201525,2,2026-08-11,TRUE,TRUE,FALSE
022R,2004,1,1,1,JUNCTION,THISTLEWOODBANK,381109,200408,1,2004-05-26,TRUE,TRUE,FALSE
022S,2021,3,1,1,YEW,YEW,381619,201268,3,2021-12-07,TRUE,TRUE,FALSE
022S,2022,3,3,2,SEPTICTANK,TAXUS,381737,201220,1,2022-06-14,TRUE,TRUE,FALSE
022T,2017,2,1,1,PARKMILL,PARKMILL,383730,200924,2,2017-11-15,TRUE,TRUE,FALSE
022V,2015,1,1,1,WOODRUSH,WOODRUSH,382713,200607,1,2015-06-09,TRUE,TRUE,FALSE
022W,2005,2,1,1,HOLLYWOOD,HOLLYWOOD,381353,199891,2,2005-09-13,TRUE,TRUE,FALSE
022Y,2007,2,1,1,YEW,YEW,381619,201268,2,2007-08-22,TRUE,TRUE,FALSE
022Z,2019,3,1,1,WOODFARM,WOODFARM,383337,200429,3,2019-11-19,TRUE,TRUE,FALSE
022Z,2020,3,1,1,WOODFARM,WOODFARM,383337,200429,3,2020-12-09,TRUE,TRUE,FALSE
023A,2014,1,1,1,PARKMILL,PARKMILL,383730,200924,1,2014-06-24,TRUE,TRUE,TRUE
023A,2015,4,1,1,PARKMILL,PARKMILL,383730,200924,4,2015-11-25,TRUE,TRUE,TRUE
023A,2016,1,1,1,PARKMILL,PARKMILL,383730,200924,1,2016-01-26,TRUE,TRUE,TRUE
023B,2006,2,1,1,HONEYWELL,HONEYWELL,381931,201706,2,2006-08-15,TRUE,TRUE,TRUE
023B,2007,4,2,1,HONEYWELL,HONEYWELL,381931,201706,3,2007-09-11,TRUE,TRUE,TRUE
023B,2008,4,2,2,TRACKSIDE,TRACKSIDE,382281,201327,3,2008-11-19,TRUE,TRUE,TRUE
023B,2009,1,1,1,TRACKSIDE,TRACKSIDE,382281,201327,1,2009-01-28,TRUE,TRUE,TRUE
023C,2016,2,2,1,BOXWOOD,BOXWOOD,381241,201774,1,2016-10-18,TRUE,TRUE,FALSE
023C,2017,3,2,2,BOXWOOD,BOXWOOD,381241,201774,2,2017-07-11,TRUE,TRUE,FALSE
023E,2013,1,1,1,OLDOAK,OLDOAK,382624,201274,1,2013-06-18,TRUE,TRUE,FALSE
023E,2014,1,1,1,OLDOAK,OLDOAK,382624,201274,1,2014-01-28,TRUE,TRUE,FALSE
023F,2010,2,1,1,TOP,TOP,381795,200962,2,2010-11-16,TRUE,TRUE,FALSE
023F,2011,4,1,1,TOP,TOP,381795,200962,4,2011-09-20,TRUE,TRUE,FALSE
023G,2003,2,2,1,PARKMILL,PARKMILL,383730,200924,1,2003-06-03,TRUE,TRUE,FALSE
023H,2020,1,1,1,INCHBROOK,INCHBROOK,384013,200739,1,2020-09-02,TRUE,TRUE,TRUE
023H,2023,1,1,1,INCHBROOK,INCHBROOK,384013,200739,1,2023-11-21,TRUE,TRUE,TRUE
023H,2024,1,1,1,INCHBROOK,INCHBROOK,384013,200739,1,2024-06-11,TRUE,TRUE,TRUE
023H,2025,1,1,1,INCHBROOK,INCHBROOK,384013,200739,1,2025-06-11,TRUE,TRUE,TRUE
023H,2026,1,1,1,INCHBROOK,INCHBROOK,384013,200739,1,2026-08-11,TRUE,TRUE,TRUE
023K,2012,1,1,1,WINDSOREDGE,WINDSOREDGE,383635,200531,1,2012-06-26,TRUE,TRUE,FALSE
023L,2011,2,1,1,TOP,TOP,381795,200962,2,2011-09-20,TRUE,TRUE,FALSE
023L,2012,3,1,1,TOP,TOP,381795,200962,3,2012-07-31,TRUE,TRUE,FALSE
023M,2018,5,3,3,BOXWOOD,BOXWOOD,381241,201774,3,2018-12-11,TRUE,TRUE,TRUE
023M,2019,4,3,2,BOXWOOD,BOXWOOD,381241,201774,2,2019-10-22,TRUE,TRUE,TRUE
023M,2020,3,3,1,CEDAR,CEDAR,381022,201589,1,2020-10-06,TRUE,TRUE,TRUE
023N,2009,2,1,1,CEDAR,CEDAR,381022,201589,2,2009-11-17,TRUE,TRUE,TRUE
023N,2010,3,1,1,CEDAR,CEDAR,381022,201589,3,2010-10-05,TRUE,TRUE,TRUE
023N,2011,3,3,1,CEDAR,FOX,381016,201635,1,2011-10-04,TRUE,TRUE,TRUE
023N,2012,2,1,1,CEDAR,CEDAR,381022,201589,2,2012-08-14,TRUE,TRUE,TRUE
023N,2014,1,1,1,SEPTICTANK,BRACKEN,381157,201365,1,2014-05-20,TRUE,TRUE,TRUE
023N,2015,1,1,0,NA,NA,NA,NA,NA,NA,FALSE,TRUE,TRUE
023P,2008,3,2,1,OLDOAK,OLDOAK,382624,201274,2,2008-11-18,TRUE,TRUE,TRUE
023P,2009,3,1,1,OLDOAK,OLDOAK,382624,201274,3,2009-11-17,TRUE,TRUE,TRUE
023P,2010,3,1,1,OLDOAK,OLDOAK,382624,201274,3,2010-12-14,TRUE,TRUE,TRUE
023P,2011,1,1,1,OLDOAK,OLDOAK,382624,201274,1,2011-01-25,TRUE,TRUE,TRUE
023Q,2024,3,1,1,INCHBROOK,INCHBROOK,384013,200739,3,2024-12-10,TRUE,TRUE,FALSE
023Q,2025,1,1,1,INCHBROOK,INCHBROOK,384013,200739,1,2025-06-10,TRUE,TRUE,FALSE
023Q,2026,1,1,1,INCHBROOK,INCHBROOK,384013,200739,1,2026-06-09,TRUE,TRUE,FALSE
023R,2004,2,1,1,JUNCTION,THISTLEWOODBANK,381109,200408,2,2004-08-25,TRUE,TRUE,FALSE
023R,2005,1,1,1,JUNCTION,THISTLEWOODBANK,381109,200408,1,2005-01-11,TRUE,TRUE,FALSE
023S,2021,2,2,1,YEW,YEW,381619,201268,1,2021-08-10,TRUE,TRUE,FALSE
023T,2017,1,1,1,NETTLE,HOLLOWTREE,382930,201326,1,2017-07-11,TRUE,TRUE,FALSE
023T,2018,2,1,1,NETTLE,NETTLE,383024,201142,2,2018-08-22,TRUE,TRUE,FALSE
023V,2015,3,2,1,YEW,YEW,381619,201268,2,2015-11-11,TRUE,TRUE,FALSE
023V,2016,1,1,1,YEW,TAXUS,381737,201220,1,2016-10-05,TRUE,TRUE,FALSE
023W,2005,1,1,1,HOLLYWOOD,HOLLYWOOD,381353,199891,1,2005-05-25,TRUE,TRUE,FALSE
023Y,2007,1,1,1,WOODRUSH,FORK,382786,200771,1,2007-05-23,TRUE,TRUE,TRUE
023Y,2008,1,1,1,WOODRUSH,WOODRUSH,382713,200607,1,2008-08-05,TRUE,TRUE,TRUE
023Y,2010,3,1,1,WOODRUSH,WOODRUSH,382713,200607,3,2010-11-16,TRUE,TRUE,TRUE
023Z,2019,3,1,1,WOODFARM,WOODFARM,383337,200429,3,2019-11-19,TRUE,TRUE,TRUE
023Z,2020,3,1,1,WOODFARM,WOODFARM,383337,200429,3,2020-12-08,TRUE,TRUE,TRUE
023Z,2021,4,2,1,WOODFARM,WOODFARM,383337,200429,3,2021-10-06,TRUE,TRUE,TRUE
024A,2014,2,1,1,WINDSOREDGE,WINDSOREDGE,383635,200531,2,2014-09-09,TRUE,TRUE,FALSE
024B,2006,3,1,1,NETTLE,NETTLE,383024,201142,3,2006-11-28,TRUE,TRUE,TRUE
024B,2007,4,1,1,NETTLE,NETTLE,383024,201142,4,2007-11-07,TRUE,TRUE,TRUE
024B,2008,3,3,2,PARKMILL,PARKMILL,383730,200924,1,2008-11-19,TRUE,TRUE,TRUE
024B,2012,1,1,1,SCOTLANDBANK,SCOTLANDBANK,383412,200931,1,2012-08-14,TRUE,TRUE,TRUE
024B,2013,1,1,1,SCOTLANDBANK,SCOTLANDBANK,383412,200931,1,2013-06-18,TRUE,TRUE,TRUE
024B,2014,1,1,1,SCOTLANDBANK,SCOTLANDBANK,383412,200931,1,2014-06-24,TRUE,TRUE,TRUE
024C,2016,2,1,1,INCHBROOK,INCHBROOK,384013,200739,2,2016-10-18,TRUE,TRUE,TRUE
024C,2017,4,1,1,INCHBROOK,INCHBROOK,384013,200739,4,2017-11-15,TRUE,TRUE,TRUE
024C,2018,1,1,1,INCHBROOK,INCHBROOK,384013,200739,1,2018-01-30,TRUE,TRUE,TRUE
024E,2013,2,1,1,TRACKSIDE,TRACKSIDE,382281,201327,2,2013-08-13,TRUE,TRUE,TRUE
024E,2014,1,1,1,TRACKSIDE,TRACKSIDE,382281,201327,1,2014-01-28,TRUE,TRUE,TRUE
024E,2015,2,1,1,COLEPARK,COLEPARK,382049,201493,2,2015-09-09,TRUE,TRUE,TRUE
024E,2016,1,1,1,TRACKSIDE,TRACKSIDE,382281,201327,1,2016-10-18,TRUE,TRUE,TRUE
024F,2010,2,1,1,WOODFARM,WOODFARM,383337,200429,2,2010-11-16,TRUE,TRUE,FALSE
024F,2011,2,1,1,WOODFARM,WOODFARM,383337,200429,2,2011-09-21,TRUE,TRUE,FALSE
024G,2003,1,1,1,OLDOAK,OLDOAK,382624,201274,1,2003-06-03,TRUE,TRUE,TRUE
024G,2004,1,1,1,OLDOAK,OLDOAK,382624,201274,1,2004-02-04,TRUE,TRUE,TRUE
024G,2006,1,1,1,OLDOAK,OLDOAK,382624,201274,1,2006-01-24,TRUE,TRUE,TRUE
024G,2007,1,1,1,NETTLE,HOLLOWTREE,382930,201326,1,2007-11-06,TRUE,TRUE,TRUE
024H,2020,2,1,1,WINDSOREDGE,WINDSOREDGE,383635,200531,2,2020-10-20,TRUE,TRUE,FALSE
024H,2021,2,1,1,WINDSOREDGE,WINDSOREDGE,383635,200531,2,2021-05-26,TRUE,TRUE,FALSE
024K,2012,2,1,1,HONEYWELL,HONEYWELL,381931,201706,2,2012-08-14,TRUE,TRUE,FALSE
024L,2011,2,2,1,YEW,YEW,381619,201268,1,2011-09-20,TRUE,TRUE,FALSE
024L,2012,2,1,1,YEW,YEW,381619,201268,2,2012-06-13,TRUE,TRUE,FALSE
024M,2018,4,3,2,CEDAR,CEDAR,381022,201589,2,2018-12-11,TRUE,TRUE,FALSE
024M,2019,2,2,2,BREAKHEART,BREAKHEART,381370,201620,1,2019-07-16,TRUE,TRUE,FALSE
024N,2009,2,1,1,INCHBROOK,INCHBROOK,384013,200739,2,2009-11-17,TRUE,TRUE,FALSE
024P,2008,2,1,1,PARKMILL,SCOTLANDBANK,383412,200931,2,2008-08-20,TRUE,TRUE,TRUE
024P,2010,1,1,1,PARKMILL,PARKMILL,383730,200924,1,2010-11-30,TRUE,TRUE,TRUE
024P,2012,2,1,1,SCOTLANDBANK,SCOTLANDBANK,383412,200931,2,2012-10-16,TRUE,TRUE,TRUE
024P,2013,2,1,1,SCOTLANDBANK,SCOTLANDBANK,383412,200931,2,2013-08-13,TRUE,TRUE,TRUE
024P,2016,1,1,1,SCOTLANDBANK,SCOTLANDBANK,383412,200931,1,2016-01-26,TRUE,TRUE,TRUE
024Q,2024,2,1,1,INCHBROOK,INCHBROOK,384013,200739,2,2024-12-11,TRUE,TRUE,FALSE
024Q,2025,2,1,1,INCHBROOK,INCHBROOK,384013,200739,2,2025-08-12,TRUE,TRUE,FALSE
024R,2004,1,1,1,HEDGE,HEDGE,381350,200278,1,2004-05-26,TRUE,TRUE,FALSE
024S,2021,2,2,1,YEW,TAXUS,381737,201220,1,2021-10-06,TRUE,TRUE,FALSE
024T,2017,1,1,1,BEECH,MANSION,380901,201150,1,2017-08-01,TRUE,TRUE,TRUE
024T,2018,4,3,2,BEECH,BRACKEN,381157,201365,2,2018-10-30,TRUE,TRUE,TRUE
024T,2019,3,3,2,SEPTICTANK,SEPTICTANK,381357,201285,1,2019-07-16,TRUE,TRUE,TRUE
024T,2020,1,1,1,SEPTICTANK,RUSTYTRAP,381281,201324,1,2020-07-22,TRUE,TRUE,TRUE
024T,2021,3,3,1,CEDAR,CEDAR,381022,201589,1,2021-09-22,TRUE,TRUE,TRUE
024V,2015,3,3,2,YEW,TOP,381795,200962,1,2015-11-10,TRUE,TRUE,TRUE
024V,2016,3,1,1,TOP,TOP,381795,200962,3,2016-10-04,TRUE,TRUE,TRUE
024V,2017,2,2,1,WOODRUSH,WOODRUSH,382713,200607,1,2017-06-27,TRUE,TRUE,TRUE
024W,2005,2,2,1,ARTHURS,MEAD,380390,200637,1,2005-05-25,TRUE,TRUE,FALSE
024Y,2007,4,2,1,YEW,YEW,381619,201268,2,2007-12-11,TRUE,TRUE,TRUE
024Y,2008,3,2,2,TOP,TOP,381795,200962,2,2008-11-04,TRUE,TRUE,TRUE
024Y,2009,3,1,1,TOP,TOP,381795,200962,3,2009-06-04,TRUE,TRUE,TRUE
024Y,2010,1,1,1,TOP,TOP,381795,200962,1,2010-01-19,TRUE,TRUE,TRUE
024Y,2011,2,2,1,WYCHELM,POPLAR,382132,201047,1,2011-07-12,TRUE,TRUE,TRUE
024Y,2013,1,1,1,WYCHELM,POPLAR,382132,201047,1,2013-07-31,TRUE,TRUE,TRUE
024Y,2014,1,1,1,WYCHELM,NA,NA,NA,NA,NA,FALSE,TRUE,TRUE
024Z,2019,3,1,1,WINDSOREDGE,WINDSOREDGE,383635,200531,3,2019-12-10,TRUE,TRUE,TRUE
024Z,2020,2,2,2,WINDSOREDGE,WINDSOREDGE,383635,200531,1,2020-09-01,TRUE,TRUE,TRUE
024Z,2021,2,2,1,WOODFARM,WOODFARM,383337,200429,1,2021-08-11,TRUE,TRUE,TRUE
025A,2014,3,2,1,OLDOAK,OLDOAK,382624,201274,2,2014-11-04,TRUE,TRUE,FALSE
025A,2015,4,1,1,OLDOAK,OLDOAK,382624,201274,4,2015-11-25,TRUE,TRUE,FALSE
025B,2006,3,1,1,WOODFARM,WOODFARM,383337,200429,3,2006-11-28,TRUE,TRUE,TRUE
025B,2007,3,1,1,WOODFARM,WOODFARM,383337,200429,3,2007-08-21,TRUE,TRUE,TRUE
025B,2008,2,1,1,WOODFARM,WOODFARM,383337,200429,2,2008-08-05,TRUE,TRUE,TRUE
025B,2009,1,1,1,WOODFARM,WOODFARM,383337,200429,1,2009-01-13,TRUE,TRUE,TRUE
025C,2016,1,1,1,INCHBROOK,INCHBROOK,384013,200739,1,2016-08-10,TRUE,TRUE,FALSE
025C,2017,1,1,1,INCHBROOK,INCHBROOK,384013,200739,1,2017-01-24,TRUE,TRUE,FALSE
025E,2013,3,2,2,CEDAR,CEDAR,381022,201589,2,2013-10-23,TRUE,TRUE,TRUE
025E,2014,2,1,1,CEDAR,CEDAR,381022,201589,2,2014-08-12,TRUE,TRUE,TRUE
025E,2015,2,2,2,CEDAR,HUNTINGGATE,381247,201345,1,2015-07-15,TRUE,TRUE,TRUE
025E,2016,2,2,2,CEDAR,BRACKEN,381157,201365,1,2016-07-12,TRUE,TRUE,TRUE
025E,2017,1,1,1,CEDAR,CEDAR,381022,201589,1,2017-06-14,TRUE,TRUE,TRUE
025E,2019,1,1,1,SEPTICTANK,HUNTINGGATE,381247,201345,1,2019-07-17,TRUE,TRUE,TRUE
025E,2021,2,2,2,CEDAR,BOX,380621,201409,1,2021-09-22,TRUE,TRUE,TRUE
025F,2010,1,1,1,INCHBROOK,INCHBROOK,384013,200739,1,2010-10-05,TRUE,TRUE,TRUE
025F,2012,1,1,1,INCHBROOK,INCHBROOK,384013,200739,1,2012-08-14,TRUE,TRUE,TRUE
025G,2003,2,1,1,CEDAR,RABBIT,380856,201662,2,2003-09-02,TRUE,TRUE,FALSE
025G,2004,1,1,1,CEDAR,CEDAR,381022,201589,1,2004-02-03,TRUE,TRUE,FALSE
025H,2020,2,2,1,CEDAR,CEDAR,381022,201589,1,2020-10-06,TRUE,TRUE,FALSE
025K,2012,1,1,1,INCHBROOK,INCHBROOK,384013,200739,1,2012-06-26,TRUE,TRUE,FALSE
025L,2011,2,1,1,COLLIERSWOOD,COLLIERSWOOD,382931,200706,2,2011-09-20,TRUE,TRUE,FALSE
025L,2012,2,1,1,COLLIERSWOOD,COLLIERSWOOD,382931,200706,2,2012-06-13,TRUE,TRUE,FALSE
025M,2018,2,1,1,INCHBROOK,INCHBROOK,384013,200739,2,2018-10-16,TRUE,TRUE,FALSE
025M,2020,1,1,0,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE
025N,2009,1,1,1,INCHBROOK,INCHBROOK,384013,200739,1,2009-10-13,TRUE,TRUE,TRUE
025N,2010,1,1,1,INCHBROOK,INCHBROOK,384013,200739,1,2010-06-15,TRUE,TRUE,TRUE
025N,2012,1,1,1,INCHBROOK,INCHBROOK,384013,200739,1,2012-06-26,TRUE,TRUE,TRUE
025N,2013,1,1,1,INCHBROOK,INCHBROOK,384013,200739,1,2013-08-13,TRUE,TRUE,TRUE
025P,2008,2,1,1,JACKSMIREY,JACKSMIREY,380678,200030,2,2008-10-21,TRUE,TRUE,FALSE
025P,2009,2,2,2,ARTHURS,ARTHURS,380534,200550,1,2009-07-21,TRUE,TRUE,FALSE
025Q,2024,1,1,1,INCHBROOK,INCHBROOK,384013,200739,1,2024-12-11,TRUE,TRUE,FALSE
025R,2004,1,1,1,JUNCTION,THISTLEWOODBANK,381109,200408,1,2004-05-26,TRUE,TRUE,FALSE
025S,2021,1,1,1,KENNEL,KENNEL,382464,200922,1,2021-08-11,TRUE,TRUE,FALSE
025T,2017,1,1,1,ARTHURS,ARTHURS,380534,200550,1,2017-08-01,TRUE,TRUE,FALSE
025T,2018,1,1,1,ARTHURS,MEAD,380390,200637,1,2018-01-09,TRUE,TRUE,FALSE
025V,2015,3,3,2,YEW,TOP,381795,200962,1,2015-11-10,TRUE,TRUE,FALSE
025V,2016,2,2,2,TOP,YEW,381619,201268,1,2016-05-10,TRUE,TRUE,FALSE
025W,2005,1,1,1,JUNCTION,THISTLEWOODBANK,381109,200408,1,2005-05-25,TRUE,TRUE,TRUE
025W,2006,1,1,1,JUNCTION,OPEN,380812,200417,1,2006-10-25,TRUE,TRUE,TRUE
025W,2007,1,1,1,JUNCTION,THISTLEWOODBANK,381109,200408,1,2007-10-23,TRUE,TRUE,TRUE
025W,2008,4,2,2,JUNCTION,JUNCTION,380841,200432,3,2008-10-21,TRUE,TRUE,TRUE
025Y,2007,2,1,1,WINDSOREDGE,WINDSOREDGE,383635,200531,2,2007-09-11,TRUE,TRUE,FALSE
025Z,2019,3,1,1,INCHBROOK,INCHBROOK,384013,200739,3,2019-12-10,TRUE,TRUE,FALSE
026A,2014,2,1,1,INCHBROOK,INCHBROOK,384013,200739,2,2014-11-04,TRUE,TRUE,TRUE
026A,2015,2,1,1,INCHBROOK,INCHBROOK,384013,200739,2,2015-09-08,TRUE,TRUE,TRUE
