tattoo,year,n_year_encounters,n_distinct_setts,n_distinct_socg,annual_socg,annual_sett,annual_x,annual_y,annual_sett_n_encounters,annual_sett_latest_date,has_annual_xy,in_infection_model,in_phase2
003N,2012,2,2,1,TOP,TOP,381795,200962,1,2012-06-13,TRUE,TRUE,TRUE
003P,2008,4,1,1,HEDGE,HEDGE,381350,200278,4,2008-12-09,TRUE,TRUE,FALSE
003Q,2024,1,1,1,HONEYWELL,HONEYWELL,381931,201706,1,2024-05-22,TRUE,TRUE,FALSE
003R,2004,1,1,1,TOP,TOP,381795,200962,1,2004-01-20,TRUE,TRUE,FALSE
003S,2021,2,1,1,NETTLE,NETTLE,383024,201142,2,2021-06-09,TRUE,TRUE,FALSE
003S,2022,2,2,1,NETTLE,QUARRY,383188,201092,1,2022-06-28,TRUE,TRUE,FALSE
003T,2017,1,1,1,COLEPARK,COLEPARK,382049,201493,1,2017-01-25,TRUE,TRUE,FALSE
003U,2026,2,2,2,NETTLE,OLDOAK,382624,201274,1,2026-08-11,TRUE,TRUE,FALSE
003V,2015,4,1,1,NETTLE,NETTLE,383024,201142,4,2015-11-25,TRUE,TRUE,FALSE
003V,2016,2,1,1,NETTLE,NETTLE,383024,201142,2,2016-08-09,TRUE,TRUE,FALSE
003W,2005,1,1,1,HOGARTHS,HOGARTHS,382627,200053,1,2005-05-04,TRUE,TRUE,FALSE
003X,2025,2,2,2,BOXWOOD,OLDPONDDRAIN,381503,201484,1,2025-07-29,TRUE,TRUE,FALSE
003Y,2007,1,1,1,OLDOAK,TOPOAK,382616,201525,1,2007-01-30,TRUE,TRUE,FALSE
003Z,2019,2,1,1,INCHBROOK,INCHBROOK,384013,200739,2,2019-08-13,TRUE,TRUE,FALSE
004A,2014,2,1,1,ARTHURS,ARTHURS,380534,200550,2,2014-08-12,TRUE,TRUE,TRUE
004A,2015,1,1,1,ARTHURS,MEAD,380390,200637,1,2015-07-14,TRUE,TRUE,TRUE
004A,2016,1,1,1,ARTHURS,MEAD,380390,200637,1,2016-05-03,TRUE,TRUE,TRUE
004B,2006,4,2,1,LARCH,BOX,380621,201409,3,2006-12-12,TRUE,TRUE,FALSE
004C,2016,3,1,1,WINDSOREDGE,WINDSOREDGE,383635,200531,3,2016-10-18,TRUE,TRUE,TRUE
004C,2017,2,1,1,WINDSOREDGE,WINDSOREDGE,383635,200531,2,2017-09-06,TRUE,TRUE,TRUE
004C,2018,1,1,1,WINDSOREDGE,WINDSOREDGE,383635,200531,1,2018-08-21,TRUE,TRUE,TRUE
004C,2022,1,1,0,NA,NA,NA,NA,NA,NA,FALSE,TRUE,TRUE
