previous_sett,Sett_Clean,n
WYCHELM,YEW,3
XMASTREE,OLDOAK,3
YEW,CHERRIES,3
YEW,COLEPARK,3
YEW,WYCHELM,3
ARTHURS,THISTLEWOODBANK,2
ATCOMBECORNER,PARKMILL,2
ATCOMBECORNER,WALL,2
ATCOMBEWEST,TOPOAK,2
BAMBOO,BUNGALOW,2
BAMBOO,DARKWOOD,2
BAMBOO,LISTERS,2
BANK,BRAMBLE,2
BEECH,BOX,2
BEECH,OLDPONDDRAIN,2
BEND,CHAIN,2
BOX,BOXER,2
BOX,BUCKHOLT,2
BOXWOOD,FOX,2
BOXWOOD,OLDPONDDRAIN,2
BRACKEN,CEDAR,2
BRAMBLE,PARKMILL,2
BULLPEN,BULLPEN,2
BULLPEN,RABBIT,2
BUSH,JUNCTION,2
CARPARK,CARPARK,2
CEDAR,BOX,2
CEDAR,BREAKHEART,2
CEDAR,FERN,2
CEDAR,HUNTINGGATE,2
CEDAR,TAXUS,2
CHAIN,BEND,2
CHERRIES,COLEPARK,2
CHERRIES,YEW,2
CHESNUT,LARCH,2
CHESNUT,LAURELS,2
COLEPARK,OLDCOLEPARK,2
COLEPARK,YEW,2
COLLIERSWOOD,PEGLARS,2
COLLIERSWOOD,SCRUB,2
CORRAL,CARPARK,2
CULDESAC,CULDESAC,2
DAM,OLDOAK,2
DEN,SEPTICTANK,2
DEN,YEW,2
DINGLE,OLDOAK,2
FERN,FERN,2
FERN,LAURELS,2
FERN,RABBIT,2
FERN,TAXUS,2
FIELDFARM,HEDGE,2
FIELDFARM,HOLLYWOOD,2
FIELDFARM,SINGLE,2
FORK,HOGARTHS,2
FOX,FOX,2
FOX,SYCAMORE,2
GIANTBEECH,DARKWOOD,2
GIANTBEECH,GIANTBEECH,2
GIANTBEECH,TRACKSIDE,2
HEDGE,JACKSMIREY,2
HEDGE,TOP,2
HOLLOWTREE,OLDOAK,2
HONEYWELL,OAKPILE,2
HOPPER,HOPPER,2
INCHBROOK,WINDSOREDGE,2
JACKSMIREY,FIELDFARM,2
JACKSMIREY,STREAM,2
JACKSMIREY,TODDS,2
JUNCTION,JACKSMIREY,2
KENNEL,NETTLE,2
KENNEL,TAXUS,2
KENNEL,TOP,2
LARCH,CEDAR,2
LARCH,JACOBS,2
LAURELS,RABBIT,2
LINSEED,HOLLOWTREE,2
LINSEED,OLDOAK,2
MEAD,BEECH,2
NEEDLES,NEEDLES,2
NEEDLES,TOP,2
NEEDLES,WYCHELM,2
NETTLE,KENNEL,2
NETTLE,QUARRY,2
NETTLE,SCOTLANDBANK,2
NEWFENCE,BOX,2
NEWFENCE,NEWFENCE,2
OLDCOLEPARK,HONEYWELL,2
OLDOAK,HOLLOWTREE,2
OLDOAK,NEEDLES,2
OLDOAK,XMASTREE,2
OLDPONDDRAIN,BOXWOOD,2
OLDPONDDRAIN,CHERRIES,2
OLDPONDDRAIN,RABBIT,2
OLDPONDDRAIN,TAXUS,2
OLDPONDDRAIN,YEW,2
OPEN,ARTHURS,2
PARKMILL,ATCOMBEWEST,2
PARKMILL,WOODFARM,2
PEGLARS,TOP,2
POPLAR,BOG,2
POPLAR,TRACKSIDE,2
POPLAR,YEW,2
QUARRY,HOLLOWTREE,2
RABBIT,BREAKHEART,2
RABBIT,SYCAMORE,2
RUSTYTRAP,LAURELS,2
RUSTYTRAP,OLDPONDDRAIN,2
RUSTYTRAP,RUSTYTRAP,2
SAPLING,TAXUS,2
SEPTICTANK,BREAKHEART,2
SEPTICTANK,BULLPEN,2
SEPTICTANK,RABBIT,2
SEPTICTANK,TOP,2
TAXUS,HUNTINGGATE,2
TAXUS,LAURELS,2
TAXUS,SAPLING,2
THICKET,JACKSMIREY,2
THISTLEWOODBANK,EARTH,2
THISTLEWOODBANK,JACKSMIREY,2
THISTLEWOODBANK,TAXUS,2
THISTLEWOODBANK,YEW,2
TODDS,JACKSMIREY,2
TOPOAK,NETTLE,2
TOPOAK,POPLAR,2
TOPOAK,TRACKSIDE,2
TRACKSIDE,NETTLE,2
TRACKSIDE,OAKPILE,2
WEST,BOXER,2
WEST,CHESNUT,2
WEST,JACOBS,2
WINDFALL,PEGLARS,2
WINDSOREDGE,COLLIERSWOOD,2
WINDSOREDGE,PARKMILL,2
WOODFARM,FORK,2
WOODFARM,HOPPER,2
WOODRUSH,HOGARTHS,2
WYCHELM,NEEDLES,2
WYCHELM,PONTINS,2
YEW,ASHTREE,2
YEW,DEN,2
YEW,HEDGE,2
YEW,OLDPONDDRAIN,2
YEW,WEST,2
ARTHURS,GULLY,1
ARTHURS,HONEYWELL,1
ARTHURS,LARCH,1
ARTHURS,OLDPONDDRAIN,1
ARTHURS,PEGLARS,1
ARTHURS,WASPNEST,1
ASHTREE,TAXUS,1
ASHTREE,YEW,1
ATCOMBECORNER,BOUNDARYCOURT,1
ATCOMBECORNER,NETTLE,1
ATCOMBECORNER,OLDOAK,1
ATCOMBECORNER,PRIORY,1
ATCOMBEWEST,BOUNDARY,1
ATCOMBEWEST,DAM,1
ATCOMBEWEST,HOLLOWTREE,1
BAMBOO,BOUNDARYCOURT,1
BAMBOO,PARKMILL,1
BANK,JUNCTION,1
BANK,LARCH,1
BEECH,ARTHURS,1
BEECH,BRACKEN,1
BEECH,COLEPARK,1
BEECH,HEDGE,1
BEECH,HUNTINGGATE,1
BEECH,LAURELS,1
BEECH,MEAD,1
BEECH,SEPTICTANK,1
BEECH,THISTLEWOODBANK,1
BENCH,BOXER,1
BENCH,CEDAR,1
BEND,BEND,1
BEND,BREAKHEART,1
BOG,TOP,1
BOG,WYCHELM,1
BOUNDARY,ATCOMBEWEST,1
BOUNDARYCOURT,DINGLE,1
BOUNDARYCOURT,HONEYWELL,1
BOX,ARTHURS,1
BOX,BRACKEN,1
BOX,BULLPEN,1
BOX,CARTON,1
BOX,CEDAR,1
BOX,COMPLEX,1
BOX,JACKSMIREY,1
BOX,JACOBS,1
BOX,KENNEL,1
BOX,MANSION,1
BOXWOOD,DAM,1
BOXWOOD,FERN,1
BOXWOOD,LEBANON,1
BOXWOOD,RABBIT,1
BOXWOOD,SEPTICTANK,1
BOXWOOD,SYCAMORE,1
BOXWOOD,YEW,1
BRACKEN,BEECH,1
BRACKEN,BOXWOOD,1
BRACKEN,BRACKEN,1
BRACKEN,FERN,1
BRACKEN,HONEYWELL,1
BRACKEN,LAURELS,1
BRACKEN,THISTLEWOODBANK,1
BRAMBLE,BANK,1
BREAKHEART,BULLPEN,1
BREAKHEART,CEDAR,1
BREAKHEART,CHAIN,1
BREAKHEART,FOX,1
BREAKHEART,LAURELS,1
BREAKHEART,SYCAMORE,1
BUCKHOLT,BUCKHOLT,1
BULLPEN,BEECH,1
BULLPEN,BRACKEN,1
BULLPEN,CHAIN,1
BULLPEN,OLDPONDDRAIN,1
BUNGALOW,BAMBOO,1
BUNGALOW,HOGARTHS,1
BUNGALOW,OLDOAK,1
BUSH,OPEN,1
CARPARK,CORRAL,1
CARTON,BOX,1
CEDAR,BENCH,1
CEDAR,CHESNUT,1
CEDAR,LARCH,1
CEDAR,MEAD,1
CHAIN,COLEPARK,1
CHAIN,TRACKSIDE,1
CHERRIES,WYCHELM,1
