origin_SG,sigma_move,same_SG_mean,same_SG_median,neighbour_SG_mean,neighbour_SG_median,nonneighbour_SG_mean,nonneighbour_SG_median,peripheral_mean,peripheral_median
14,150,0.4661009995403518,0.4824318039863435,0.45335181558920673,0.4305495376841273,0.005254344450819091,0.002786677291644838,0.07529284041962239,0.020566172182667396
15,60,0.8442400458067335,0.9339886284980429,0.14113239350144002,0.04830313001454688,8.727609798303891e-5,2.4585929763524675e-14,0.014540284593843425,5.284192925150255e-11
15,100,0.7586626767007698,0.8015358276152671,0.2207090628332106,0.1903707869436922,0.0010825997476110489,2.266642466024294e-6,0.01954566071840855,3.5753311895975214e-5
15,150,0.6500981561241049,0.6646881855493134,0.31572839506434075,0.3005216315083793,0.007455729206575318,9.639392996186468e-4,0.026717719604978978,0.002394705389587933
16,60,0.7744036878338575,0.8334412957395861,0.13661119786814438,0.04689948640749465,3.1506946555610174e-6,8.561565573442116e-15,0.08898196360334253,0.0015111071112438937
16,100,0.66105662929757,0.6623785721772771,0.20093484325327213,0.1636463641150241,6.249021369106477e-4,2.0259731954668685e-6,0.13738362531224715,0.04383755943598237
16,150,0.5322546556879795,0.5417691652955574,0.2699708684042531,0.23658393830068186,0.006463176941662658,8.834363372627638e-4,0.19131129896610483,0.1401191845835865
17,60,0.7630067327357104,0.7943952999199243,0.1921515977272413,0.11092756194015792,1.3666629060325536e-5,2.79758428193749e-11,0.04482800290798795,9.077790669329324e-6
17,100,0.6487505955712434,0.6580932056253428,0.2826441842776041,0.2639412630732637,7.397193244555541e-4,3.0752285052027636e-5,0.06786550082669697,0.0038113366744494982
17,150,0.5145066308353787,0.517734545744789,0.3782172848261162,0.35505695162155765,0.006053946901161703,0.0026330963265657455,0.10122213743734337,0.029085267873978974
18,60,0.7742639711762893,0.822081054310052,0.12194587745299335,0.030009356797739705,1.8837459243230827e-6,1.7747681209256468e-12,0.10378826762479303,0.016094079151053844
18,100,0.6592403250407184,0.6799714058641124,0.18081305549909477,0.12513719176298968,5.499441896522031e-4,1.323172765380325e-5,0.15939667527053467,0.09496998705537121
18,150,0.5306874834314651,0.5452396961504875,0.2360568400193155,0.21260559650724575,0.007040506903705776,0.002422643564574304,0.22621516964551358,0.1880582843383357
19,60,0.6740584417941616,0.6927065312705437,0.32593999152249553,0.3072934639117185,1.4690827628652067e-6,1.233367885331561e-13,9.760058003039665e-8,6.109543629457333e-13
19,100,0.5306744572932134,0.4949420362649058,0.46872297207017743,0.5042786898189195,3.641854330804063e-4,3.9186858181199105e-6,2.383852035287513e-4,7.796146942552531e-6
19,150,0.39091915551979883,0.38677245396426374,0.5993551578694878,0.600517535848101,0.004149460335618634,9.665501787894133e-4,0.005576226275094751,0.001911002422954691
20,60,0.7385204929678482,0.7833239781596814,0.11055170362265325,0.018240893617396343,9.442654142381756e-4,3.228414866420299e-7,0.14998353799526043,0.06584113351606963
20,100,0.6071748155504123,0.6117883593758426,0.1565214029081947,0.08030880902713304,0.009204705231241046,0.0010124612416058058,0.22709907631015194,0.18643376457376937
20,150,0.46248999696235027,0.4586513497483922,0.19753232040770172,0.13628741614468537,0.028551978049846577,0.013839580714315586,0.31142570458010144,0.29396426050807406
21,60,0.7774606918042406,0.8149939579550857,0.16343829425150136,0.103234206030229,1.3811679992503773e-4,2.052244573937758e-11,0.05896289714433299,7.931549881649916e-4
21,100,0.6715375383924398,0.677942639938764,0.23949847904367091,0.21701198798273497,0.0018512228933670516,3.0065021165361724e-5,0.08711275967052222,0.02126758097412917
21,150,0.5496524007606386,0.5629610580538391,0.31437827266408924,0.2961555625188363,0.010601994051820308,0.002508269807753801,0.12536733252345186,0.06627694256688298
22,60,0.7748296773840508,0.8503299292213037,0.08183064387661328,0.004809382684240814,7.737659608362101e-4,1.8282875941733753e-11,0.1425659127784997,0.044066793456371336
22,100,0.6573242662430815,0.6648761509509382,0.12130964507401003,0.052199312349213704,0.007494321511109207,3.0207537332814383e-5,0.21387176717179926,0.16461866399841632
22,150,0.520296590606745,0.5107164905828954,0.1573262929495632,0.11494537157111004,0.023823079087303963,0.0034600709783637607,0.2985540373563878,0.2889726040320626
