tattoo,date,year,quarter,Diagnostic model: fixed prevalence,Diagnostic model: annual prevalence,Diagnostic model: adjusted annual,All tests (fixed),All tests (inferred),Culture only (fixed)
E024,1990-03-23,1990,1,0.930260701583751,0.930260701583751,0.860979074712746,0.6417640116552072,0.9999996419728888,0.9489878479997617
E025,1988-05-11,1988,2,0.107280137099415,0.107280137099415,0.0304041412798923,0.014233895242037792,0.0015936680238660705,0.05889614811208041
E025,1988-07-19,1988,3,0.107280137099415,0.107280137099415,0.0304041412798923,0.02003768567287399,0.004480797317002511,0.06645926759002806
E026,1988-05-11,1988,2,0.107280137099415,0.107280137099415,0.0304041412798923,0.014233895242037792,0.0015936680238660705,0.05889614811208041
E026,1988-07-19,1988,3,0.107280137099415,0.107280137099415,0.0304041412798923,0.02003768567287399,0.004480797317002511,0.06645926759002806
E027,1988-05-11,1988,2,0.107280137099415,0.107280137099415,0.0304041412798923,1.0458239298567636e-5,1.749590870177483e-11,0.018588719726589892
E027,1988-07-19,1988,3,0.107280137099415,0.107280137099415,0.0304041412798923,1.4722527333030657e-5,4.9191939347100684e-11,0.020975780896816825
E027,1988-10-05,1988,4,0.107280137099415,0.107280137099415,0.0304041412798923,1.705074698112583e-5,1.2726148511336537e-10,0.024117050253520168
E027,1989-01-24,1989,1,0.107280137099415,0.107280137099415,0.0553616290696165,3.248921102591319e-5,6.269016269455931e-10,0.04071514560491425
E027,1989-05-23,1989,2,0.107280137099415,0.107280137099415,0.0553616290696165,7.723983249208433e-5,2.992091092120722e-9,0.048719145283412556
E027,1989-08-01,1989,3,0.107280137099415,0.107280137099415,0.0553616290696165,1.1481933498486759e-4,8.922170226004221e-9,0.0519552696634915
E027,1989-10-17,1989,4,0.107280137099415,0.107280137099415,0.0553616290696165,1.353403164262166e-4,2.3538811927387127e-8,0.056214642864624985
E027,1990-01-22,1990,1,0.107280137099415,0.107280137099415,0.0528457603016671,2.43758456857672e-4,1.0381753727043935e-7,0.07400789888502624
E027,1990-07-31,1990,3,0.107280137099415,0.107280137099415,0.0528457603016671,7.102105864831274e-4,8.094720651712619e-7,0.08578416896635736
E027,1990-10-16,1990,4,0.107280137099415,0.107280137099415,0.0528457603016671,7.925206192254633e-4,1.5797695996039233e-6,0.08993883836035604
E027,1991-06-04,1991,2,0.107280137099415,0.107280137099415,0.0404473043515461,0.00207788225739068,1.2437027751682467e-5,0.1173739839314105
E027,1991-08-14,1991,3,0.107280137099415,0.107280137099415,0.0404473043515461,0.0027530669904918103,2.935064050671977e-5,0.12076372569852678
E027,1992-07-28,1992,3,0.107280137099415,0.107280137099415,0.0328406976078873,0.007607046877262532,3.116167966929822e-4,0.1587077708726003
E027,1992-10-06,1992,4,0.107280137099415,0.107280137099415,0.0328406976078873,0.008170015834254446,4.851373942027054e-4,0.16314129922073303
E027,1994-06-21,1994,2,0.107280137099415,0.107280137099415,0.0229275745481719,0.03528482551647655,0.008428756733283365,0.2521190462916201
E028,1988-05-24,1988,2,0.577081615828524,0.577081615828524,0.262567432090514,0.22366720414463903,0.33140987008994344,0.06490026972128138
E029,1988-05-24,1988,2,0.107280137099415,0.107280137099415,0.0304041412798923,0.024745475130226006,0.006041834071780153,0.06490026972128138
E030,1988-05-24,1988,2,0.107280137099415,0.107280137099415,0.0304041412798923,5.826349040378012e-5,1.1203544768030032e-9,0.025019991447007676
E030,1988-08-02,1988,3,0.107280137099415,0.107280137099415,0.0304041412798923,8.20200997031025e-5,3.1500169788011812e-9,0.028232921166806004
E030,1988-10-18,1988,4,0.107280137099415,0.107280137099415,0.0304041412798923,9.499075367764523e-5,8.149218025863047e-9,0.03246099784951809
E030,1989-02-07,1989,1,0.107280137099415,0.107280137099415,0.0553616290696165,1.809993805643688e-4,4.0143787684050554e-8,0.05480165443247051
E030,1989-10-31,1989,4,0.107280137099415,0.107280137099415,0.0553616290696165,5.856068575805167e-4,3.53999759063602e-7,0.07415200013488082
E030,1990-02-06,1990,1,0.107280137099415,0.107280137099415,0.0528457603016671,7.794631584469351e-4,7.027354984550158e-7,0.09358980185428395
E030,1990-08-15,1990,3,0.107280137099415,0.107280137099415,0.0528457603016671,0.0016134996399859503,3.7681423355815134e-6,0.10645449635272751
E030,1991-06-18,1991,2,0.107280137099415,0.107280137099415,0.0404473043515461,0.0030627105133535742,1.8114769448677736e-5,0.13799392334033556
E030,1991-09-03,1991,3,0.107280137099415,0.107280137099415,0.0404473043515461,0.003746654606005438,3.5251381899995404e-5,0.14132999488459344
E030,1991-11-13,1991,4,0.107280137099415,0.107280137099415,0.0404473043515461,0.0041205558446926775,8.25597264567622e-5,0.14573736592900996
E030,1994-08-16,1994,3,0.107280137099415,0.107280137099415,0.0229275745481719,0.030441508665110608,0.003453801238060651,0.26976639618808157
E030,1994-11-01,1994,4,0.107280137099415,0.107280137099415,0.0229275745481719,0.03162811616649909,0.004268021880993343,0.2753267686542827
E031,1988-05-24,1988,2,0.107280137099415,0.107280137099415,0.0304041412798923,0.024745475130226006,0.006041834071780153,0.06490026972128138
E032,1988-05-24,1988,2,0.107280137099415,0.107280137099415,0.0304041412798923,2.0720584961407617e-7,6.829475763022263e-16,0.010095435431446887
E032,1988-08-02,1988,3,0.107280137099415,0.107280137099415,0.0304041412798923,2.916928650623711e-7,1.9201926760912116e-15,0.011391835736007343
E032,1988-10-18,1988,4,0.107280137099415,0.107280137099415,0.0304041412798923,3.378211584107378e-7,4.967614103174762e-15,0.01309784252021953
E032,1989-02-07,1989,1,0.107280137099415,0.107280137099415,0.0553616290696165,6.43698655359451e-7,2.447091797289634e-14,0.022112180375091134
E032,1989-06-06,1989,2,0.107280137099415,0.107280137099415,0.0553616290696165,1.5303288305674212e-6,1.1679538309616555e-13,0.026459110294746485
E032,1989-08-15,1989,3,0.107280137099415,0.107280137099415,0.0553616290696165,2.2748798510396647e-6,3.4827425285931793e-13,0.02821663234079067
E032,1989-10-31,1989,4,0.107280137099415,0.107280137099415,0.0553616290696165,2.6814556878587537e-6,9.188305008251558e-13,0.030529875413091625
E032,1990-02-06,1990,1,0.107280137099415,0.107280137099415,0.0528457603016671,4.829510657757439e-6,4.052486593584026e-12,0.040193298710190194
E032,1990-06-05,1990,2,0.107280137099415,0.107280137099415,0.0528457603016671,1.10870233892483e-5,2.069548814954937e-11,0.044878780949425136
E032,1990-08-14,1990,3,0.107280137099415,0.107280137099415,0.0528457603016671,1.6354490983389643e-5,6.743821765001675e-11,0.04677704500474164
E032,1990-10-31,1990,4,0.107280137099415,0.107280137099415,0.0528457603016671,1.9233056970779535e-5,1.9635717044498899e-10,0.049281625681494724
E032,1991-06-19,1991,2,0.107280137099415,0.107280137099415,0.0404473043515461,6.418502904325647e-5,2.0134554845679233e-9,0.0658204953110315
E032,1991-09-03,1991,3,0.107280137099415,0.107280137099415,0.0404473043515461,8.77977496698414e-5,4.844160695074749e-9,0.06786395074008818
E032,1991-11-13,1991,4,0.107280137099415,0.107280137099415,0.0404473043515461,1.0070644438028732e-4,1.2658772703003711e-8,0.07056361295329275
E032,1992-06-02,1992,2,0.107280137099415,0.107280137099415,0.0328406976078873,3.1400599074278936e-4,1.3661503988569936e-7,0.09071238448100148
E032,1992-08-11,1992,3,0.107280137099415,0.107280137099415,0.0328406976078873,4.261911679042176e-4,3.299171590994874e-7,0.09320405400877453
E032,1992-10-21,1992,4,0.107280137099415,0.107280137099415,0.0328406976078873,4.875345644932346e-4,8.637731119574495e-7,0.09649707123203853
E032,1993-08-18,1993,3,0.107280137099415,0.107280137099415,0.0203243807015668,0.0019511378187916275,1.269990748338008e-5,0.1270825493681673
E032,1994-06-21,1994,2,0.107280137099415,0.107280137099415,0.0229275745481719,0.004582855579019648,6.673704182255526e-5,0.166490907481691
E032,1994-08-16,1994,3,0.107280137099415,0.107280137099415,0.0229275745481719,0.005867215481688947,1.3732532822512413e-4,0.17084236928292518
E032,1994-11-02,1994,4,0.107280137099415,0.107280137099415,0.0229275745481719,0.006569207875107217,3.321970233318786e-4,0.17658153270990176
E032,1995-08-22,1995,3,0.107280137099415,0.107280137099415,0.0296022346798986,0.029824243907618803,0.007057636433983649,0.23870412683660028
E033,1988-05-24,1988,2,0.107280137099415,0.107280137099415,0.0304041412798923,1.6580468578966881e-4,2.359588051071994e-8,0.028334122868500903
E033,1988-08-02,1988,3,0.107280137099415,0.107280137099415,0.0304041412798923,2.3341061040908556e-4,6.634277434283952e-8,0.031972635121450196
E033,1988-10-18,1988,4,0.107280137099415,0.107280137099415,0.0304041412798923,2.703221512699476e-4,1.716313709414313e-7,0.03676076002865257
E033,1989-02-07,1989,1,0.107280137099415,0.107280137099415,0.0553616290696165,5.150832058742015e-4,8.4547171190277e-7,0.06206064511954308
E033,1989-06-06,1989,2,0.107280137099415,0.107280137099415,0.0553616290696165,0.0012245585314299226,4.035287625826951e-6,0.07426085652009536
E033,1989-08-15,1989,3,0.107280137099415,0.107280137099415,0.0553616290696165,0.001820343101381519,1.2032896726749737e-5,0.07919356555824113
E033,1989-10-31,1989,4,0.107280137099415,0.107280137099415,0.0553616290696165,0.002145682270130938,3.1745649972818645e-5,0.08568597629974495
E033,1990-06-05,1990,2,0.107280137099415,0.107280137099415,0.0528457603016671,0.006701261510723568,2.741273387619607e-4,0.12465481077441448
E033,1990-08-14,1990,3,0.107280137099415,0.107280137099415,0.0528457603016671,0.00908916451794802,6.507925339795889e-4,0.12945455796204544
E033,1990-10-30,1990,4,0.107280137099415,0.107280137099415,0.0528457603016671,0.010394105887768226,0.0016896553269896734,0.13578737242259006
E034,1988-05-24,1988,2,0.107280137099415,0.107280137099415,0.0304041412798923,7.030170546468853e-8,3.8920175282214384e-17,0.008788185168364252
E034,1988-08-02,1988,3,0.107280137099415,0.107280137099415,0.0304041412798923,9.896682899618714e-8,1.0942894904721347e-16,0.009916715582546523
