origin_SG,radius_m,prop_same_SG_mean,prop_same_SG_median,prop_neighbour_SG_mean,prop_neighbour_SG_median,prop_nonneighbour_SG_mean,prop_nonneighbour_SG_median,prop_peripheral_mean,prop_peripheral_median
8,100,0.8578667469395946,1,0.07370058197872767,0,0,0,0.0684326710816777,0
8,200,0.7458037263165987,0.7708333333333334,0.12730265889850012,0.020833333333333332,0.003258500539853703,0,0.1236351142450474,0.041666666666666664
8,300,0.6257361834687435,0.6160714285714286,0.17628347652175902,0.15178571428571427,0.01718749882310094,0,0.18079284118639655,0.125
8,500,0.41113090805040653,0.4185303514376997,0.22251966290594044,0.2608695652173913,0.0858074597232233,0.043333333333333335,0.28054196932042974,0.26537216828478966
8,1000,0.12195734755916238,0.12175324675324675,0.14979228607015543,0.15708502024291499,0.3017388542176679,0.30349877949552484,0.4265115121530143,0.42382495948136145
9,100,0.7803030303030303,0.8333333333333334,0.21875,0.16666666666666666,9.469696969696969e-4,0,0,0
9,200,0.6141098484848485,0.6145833333333333,0.3802083333333333,0.38541666666666663,0.005681818181818182,0,0,0
9,300,0.4630681818181818,0.4642857142857143,0.5211038961038961,0.5267857142857143,0.015827922077922076,0,0,0
9,500,0.2591740404215885,0.26666666666666666,0.6552791456162012,0.6582278481012658,0.07438349680413592,0.06666666666666667,0.011163317158074493,0
9,1000,0.06976993782343287,0.06976744186046512,0.4532920098362918,0.4537092369477912,0.241288261348046,0.24408805492155533,0.23564979099222932,0.22838697786314338
10,100,0.7100550964187328,0.6666666666666666,0.28994490358126723,0.3333333333333333,0,0,0,0
10,200,0.4838845275845949,0.48936170212765956,0.5033137488755183,0.5,0.012801723539886857,0,0,0
10,300,0.2827417642473484,0.2882882882882883,0.6680080428722455,0.6936936936936937,0.049250192880406087,0.02702702702702703,0,0
10,500,0.10332280169415503,0.1032258064516129,0.6907760651174821,0.7022653721682848,0.20295888048258875,0.19093851132686085,0.002942252705774123,0
10,1000,0.02591095894566492,0.025910931174089068,0.31733579507461807,0.3174089068825911,0.47039893314662046,0.4749190938511327,0.18635431283309653,0.1820388349514563
11,100,0.7808988764044944,0.8333333333333334,0.21910112359550563,0.16666666666666666,0,0,0,0
11,200,0.6228810073733626,0.625,0.37711899262663745,0.375,0,0,0,0
11,300,0.46601314949545203,0.48214285714285715,0.5242525698949096,0.514018691588785,0.00812914417304124,0,0.0016051364365971107,0
11,500,0.25325246362626,0.2626582278481013,0.6308757458643943,0.6487341772151899,0.0904611744457278,0.05573770491803279,0.025410616063617945,0
11,1000,0.07129286283623205,0.0713128038897893,0.4103324457929861,0.41572123176661263,0.3209416678376194,0.3325242718446602,0.19743302353316244,0.17880258899676377
12,100,0.8119266055045872,0.9166666666666666,0.1345565749235474,0,0,0,0.053516819571865444,0
12,200,0.6842507645259939,0.6875,0.22152140672782875,0.1875,1.9113149847094801e-4,0,0.09403669724770643,0
12,300,0.5505753402710729,0.5446428571428571,0.3052456690039806,0.30357142857142855,0.0073752074004578005,0,0.13680378332448864,0.07142857142857142
12,500,0.32537223620187683,0.33544303797468356,0.39042735883960766,0.43354430379746833,0.08060611590769907,0.06962025316455696,0.20359428905081642,0.16455696202531644
12,1000,0.08797159590614617,0.08794788273615635,0.2727153910257475,0.2744939271255061,0.3355305666947996,0.3319838056680162,0.30378244637330676,0.30307941653160453
13,100,0.5531725990059323,0.5,0.44682740099406765,0.5,0,0,0,0
13,200,0.38396477778829186,0.41941391941391937,0.6109692112246445,0.5805860805860805,0.0050660109870636185,0,0,0
13,300,0.23863364077884217,0.26238109247817987,0.7362072817479928,0.7307443365695793,0.024901875827074496,0.01490596238495398,2.5720164609053495e-4,0
13,500,0.10808624912242384,0.11093220338983051,0.7661311727526204,0.7622113525196224,0.11776487962167462,0.12311454897053806,0.008017698503281073,0.001644736842105263
13,1000,0.028555298710130135,0.02852485737571312,0.4533701691736422,0.45921919284659296,0.31192796415349533,0.3191035885409403,0.20614656796273229,0.2037875829489276
14,100,0.7448051948051948,0.75,0.21948051948051947,0.16666666666666666,0,0,0.03571428571428571,0
14,200,0.5895612916415137,0.5909090909090909,0.3548831528029307,0.3125,0,0,0.05555555555555555,0
14,300,0.42445210363365804,0.4166666666666667,0.49765778731812854,0.4774774774774775,0.0014074317744494644,0,0.07648267727376395,0
14,500,0.20508274941718385,0.2089041095890411,0.6111947287434923,0.6531986531986532,0.04374625946177235,0.033783783783783786,0.1399762623775514,0.1095890410958904
14,1000,0.051068156223945664,0.051112943116240726,0.34432628901190193,0.34539473684210525,0.2957326635222368,0.31213872832369943,0.30887289124191564,0.29114971050454924
15,100,0.8614986922799422,1,0.12495964105339105,0,0,0,0.013541666666666667,0
15,200,0.751554199586156,0.7855089131684876,0.22750372165926522,0.20833333333333334,6.295787545787546e-4,0,0.0203125,0
15,300,0.624808637052404,0.6313972754050073,0.34559787062761305,0.33982786342570703,0.003793503616627577,0,0.025799988703355346,0
15,500,0.41654836576790283,0.4324791919947629,0.4831279765004101,0.4829349548038393,0.04527784913807392,0.011906420527110183,0.055045808593613126,0.02702702702702703
15,1000,0.13103050991998064,0.1311881188118812,0.3862395659199945,0.39669421487603307,0.24465203258377663,0.25474797479747974,0.23807789157624829,0.2360710265906855
16,100,0.8012650779641071,0.8333333333333334,0.12268314210061783,0,0,0,0.07605177993527508,0
16,200,0.6473583764371016,0.6458333333333334,0.2098422708120893,0.16666666666666666,0,0,0.14279935275080907,0.020833333333333332
16,300,0.49574126019434006,0.5,0.29359642198573005,0.26785714285714285,0.0031372650278868003,0,0.20752505279204309,0.16071428571428573
16,500,0.2835399944438554,0.29431438127090304,0.38136573751953123,0.370253164556962,0.041291773618172864,0.012658227848101266,0.2938024944184405,0.3069620253164557
16,1000,0.08371524862247666,0.08374384236453201,0.2426498838832616,0.24630541871921183,0.2641615887777229,0.26644736842105265,0.4094732787165388,0.411620294599018
17,100,0.7874636778746368,0.8333333333333334,0.17144043171440432,0.08333333333333333,0,0,0.0410958904109589,0
17,200,0.6341272197275072,0.625,0.29594028076882,0.2727272727272727,2.9779630732578913e-4,0,0.06963470319634703,0
17,300,0.4795377851494564,0.49074074074074076,0.41291183651222657,0.40186915887850466,0.0031857962910668606,0,0.10436458204725022,0.018018018018018018
17,500,0.23694939620618638,0.2408026755852843,0.5298808940335572,0.5460750853242321,0.03642398036983107,0.030405405405405407,0.1967457293904253,0.16891891891891891
17,1000,0.0594087315832782,0.0594059405940594,0.3050202089755635,0.3104872006606111,0.25579756350439214,0.2632013201320132,0.3797734959367661,0.3694214876033058
18,100,0.7980769230769231,0.8333333333333334,0.10817307692307693,0,0,0,0.09375,0
18,200,0.6431431321145706,0.6458333333333334,0.19099148327004478,0.14583333333333334,0,0,0.1658653846153846,0.10416666666666667
18,300,0.4951034246454902,0.5140796703296704,0.26029963284450536,0.25892857142857145,0.0024195083566632028,0,0.24217743415334128,0.22069805194805195
18,500,0.2826907350777634,0.29200490039416216,0.30071878090920773,0.3140170532343056,0.05119950430882447,0.030063291139240507,0.3653909797042044,0.36118783040241664
18,1000,0.08425434615423727,0.08428805237315876,0.14788890129380727,0.15215622457282343,0.2618712393670275,0.26138682680223235,0.505985513184928,0.5036658235516045
19,100,0.7023802308802309,0.7142857142857143,0.2976197691197691,0.2857142857142857,0,0,0,0
19,200,0.5061743447638408,0.4754784688995215,0.4938256552361591,0.5245215311004785,0,0,0,0
19,300,0.3579733544414936,0.3664180741390656,0.6398139179182469,0.6335819258609344,0.0016244923461418306,0,5.88235294117647e-4,0
19,500,0.1628560176302306,0.1678082191780822,0.762249329560967,0.7684354846302311,0.02843878797606829,0.01549354188884939,0.046455864832734055,0.024090532053560848
19,1000,0.04020007194395885,0.04019688269073011,0.47009914449762447,0.47722389704297596,0.12326756435950971,0.11863711001642036,0.366433219198907,0.362776553452597
20,100,0.7654040404040404,0.8333333333333334,0.09917929292929292,0,0,0,0.13541666666666666,0
20,200,0.5885265851644848,0.5833333333333334,0.1663002172753857,0.08333333333333333,0.007508058221554117,0,0.2376651393385754,0.20833333333333331
20,300,0.4187970003876798,0.4337032710280374,0.21380109250729334,0.1517857142857143,0.02920821509448743,0,0.33819369201053945,0.32142857142857145
20,500,0.1973140760952429,0.20160051609732121,0.2594694229195756,0.2596774193548387,0.08368905481615237,0.0781421710285319,0.45952744616902913,0.4636421531779838
20,1000,0.05106366998512477,0.05113636363636364,0.19408498715583505,0.19926928238668146,0.1556114447534488,0.15259740259740262,0.5992398981055914,0.599025974025974
21,100,0.8016681971227426,0.9166666666666666,0.1436179981634527,0.08333333333333333,0,0,0.054713804713804715,0
21,200,0.6576266636249634,0.6666666666666666,0.2515335398800527,0.25,9.145521718055567e-4,0,0.08992524432317833,0
21,300,0.5191673663828404,0.5267857142857143,0.34315802719531113,0.3392857142857143,0.007290108172844357,0,0.13038449824900403,0.07142857142857142
21,500,0.2976760281447007,0.3102310231023102,0.4226995892019377,0.4512987012987013,0.05210714616147688,0.036303630363036306,0.2275172364918848,0.1986970684039088
21,1000,0.07970874139019322,0.07967479674796749,0.2341581769200401,0.23658536585365852,0.16768011461678442,0.16666666666666666,0.5184529670729823,0.5195121951219512
22,100,0.8034188034188035,0.9166666666666666,0.07158119658119658,0,0,0,0.125,0
22,200,0.6436965811965812,0.625,0.1282051282051282,0.041666666666666664,0.006143162393162393,0,0.2219551282051282,0.17708333333333331
22,300,0.48619325494325494,0.48660714285714285,0.1720063345063345,0.15178571428571427,0.023536598536598535,0,0.318263812013812,0.34375
22,500,0.24239813638674024,0.24367088607594936,0.2028015500083315,0.1962025316455696,0.0769321084833245,0.04278681936909785,0.4778682051216038,0.49367088607594933
22,1000,0.0621998186799155,0.062197092084006464,0.07997119544560564,0.07996768982229402,0.19149099215179438,0.18578352180936997,0.6663379937226844,0.6720516962843295
