tattoo,primary,origin_year,origin_SG,origin_zone,origin_sett,origin_x,origin_y,n_loc_obs,entry_group,next_primary,next_year,dest_x,dest_y,dest_SG,dest_zone,dest_sett,observed_category,observed_distance_m
008P,34,2009,6,1,CEDAR,381022,201589,2,1,35,2010,381737,201220,11,1,TAXUS,nonneighbour_SG,804.6030077000706
008P,35,2010,11,1,TAXUS,381737,201220,1,1,36,2011,381737,201220,11,1,TAXUS,same_SG,0
009B,31,2006,1,1,WEST,380190,201400,3,1,32,2007,380279,201409,1,1,CORRAL,same_SG,89.45389874119518
009C,41,2016,14,1,OAKPILE,382183,201478,3,1,42,2017,382049,201493,14,1,COLEPARK,same_SG,134.8369385591352
009F,35,2010,7,1,BOXWOOD,381241,201774,2,1,36,2011,381241,201774,7,1,BOXWOOD,same_SG,0
009K,37,2012,10,1,SEPTICTANK,381357,201285,2,1,38,2013,380834,201150,3,1,CHESNUT,nonneighbour_SG,540.1425737710368
009L,36,2011,1,1,WEST,380190,201400,1,1,37,2012,380190,201400,1,1,WEST,same_SG,0
009M,43,2018,11,1,YEW,381619,201268,3,1,44,2019,381619,201268,11,1,YEW,same_SG,0
009N,34,2009,4,1,JUNCTION,380841,200432,2,1,35,2010,380841,200432,4,1,JUNCTION,same_SG,0
009N,35,2010,4,1,JUNCTION,380841,200432,3,1,36,2011,380841,200432,4,1,JUNCTION,same_SG,0
009N,36,2011,4,1,JUNCTION,380841,200432,2,1,37,2012,380841,200432,4,1,JUNCTION,same_SG,0
009P,33,2008,15,1,WYCHELM,382074,201085,2,1,34,2009,382132,201047,15,1,POPLAR,same_SG,69.33974329343886
009P,34,2009,15,1,POPLAR,382132,201047,3,1,35,2010,382074,201085,15,1,WYCHELM,same_SG,69.33974329343886
009P,35,2010,15,1,WYCHELM,382074,201085,2,1,36,2011,382464,200922,15,1,KENNEL,same_SG,422.6925596695546
009P,36,2011,15,1,KENNEL,382464,200922,2,1,37,2012,382713,200607,16,1,WOODRUSH,neighbour_SG,401.529575498493
009P,37,2012,16,1,WOODRUSH,382713,200607,2,1,38,2013,382464,200922,15,1,KENNEL,neighbour_SG,401.529575498493
009P,38,2013,15,1,KENNEL,382464,200922,2,1,39,2014,382464,200922,15,1,KENNEL,same_SG,0
010A,39,2014,21,1,COLLIERSWOOD,382931,200706,2,2,40,2015,382931,200706,21,1,COLLIERSWOOD,same_SG,0
010E,38,2013,11,1,YEW,381619,201268,3,1,39,2014,382074,201085,15,1,WYCHELM,neighbour_SG,490.42226703117797
010E,39,2014,15,1,WYCHELM,382074,201085,2,1,40,2015,381737,201220,11,1,TAXUS,neighbour_SG,363.03443362854716
010L,36,2011,1,1,WEST,380190,201400,1,1,37,2012,380190,201400,1,1,WEST,same_SG,0
010N,34,2009,4,1,JUNCTION,380841,200432,2,1,35,2010,380841,200432,4,1,JUNCTION,same_SG,0
010N,35,2010,4,1,JUNCTION,380841,200432,2,1,36,2011,380841,200432,4,1,JUNCTION,same_SG,0
010N,36,2011,4,1,JUNCTION,380841,200432,1,1,37,2012,380841,200432,4,1,JUNCTION,same_SG,0
010N,37,2012,4,1,JUNCTION,380841,200432,1,1,38,2013,380841,200432,4,1,JUNCTION,same_SG,0
010P,33,2008,15,1,KENNEL,382464,200922,2,1,34,2009,382464,200922,15,1,KENNEL,same_SG,0
010P,34,2009,15,1,KENNEL,382464,200922,1,1,35,2010,382074,201085,15,1,WYCHELM,same_SG,422.6925596695546
010P,35,2010,15,1,WYCHELM,382074,201085,1,1,36,2011,382786,200771,16,1,FORK,neighbour_SG,778.1645070292013
010P,38,2013,15,1,KENNEL,382464,200922,1,1,39,2014,382464,200922,15,1,KENNEL,same_SG,0
010P,39,2014,15,1,KENNEL,382464,200922,2,1,40,2015,382464,200922,15,1,KENNEL,same_SG,0
010V,40,2015,5,1,JACKSMIREY,380678,200030,2,2,41,2016,380390,200637,4,1,MEAD,neighbour_SG,671.8578718746994
010Y,32,2007,3,1,CHESNUT,380834,201150,2,1,33,2008,380931,201164,3,1,BEECH,same_SG,98.00510190801293
010Y,33,2008,3,1,BEECH,380931,201164,2,1,34,2009,380931,201164,3,1,BEECH,same_SG,0
010Y,37,2012,6,1,CEDAR,381022,201589,1,1,38,2013,381022,201589,6,1,CEDAR,same_SG,0
011A,39,2014,22,1,WOODFARM,383337,200429,3,1,40,2015,383337,200429,22,1,WOODFARM,same_SG,0
011B,31,2006,3,1,BEECH,380931,201164,1,1,32,2007,380931,201164,3,1,BEECH,same_SG,0
011B,32,2007,3,1,BEECH,380931,201164,2,1,33,2008,380931,201164,3,1,BEECH,same_SG,0
011C,41,2016,6,1,CEDAR,381022,201589,1,1,42,2017,381241,201774,7,1,BOXWOOD,neighbour_SG,286.6810073932349
011E,38,2013,11,1,YEW,381619,201268,3,1,39,2014,381619,201268,11,1,YEW,same_SG,0
011G,28,2003,1,1,WEST,380190,201400,3,1,29,2004,380190,201400,1,1,WEST,same_SG,0
011G,29,2004,1,1,WEST,380190,201400,1,1,30,2005,380190,201400,1,1,WEST,same_SG,0
011M,43,2018,16,1,WOODRUSH,382713,200607,2,1,44,2019,383045,200620,21,1,SCRUB,neighbour_SG,332.2544205875973
011P,33,2008,15,1,KENNEL,382464,200922,2,1,34,2009,382464,200922,15,1,KENNEL,same_SG,0
011R,29,2004,4,1,ARTHURS,380534,200550,3,1,30,2005,380534,200550,4,1,ARTHURS,same_SG,0
011Y,32,2007,15,1,WYCHELM,382074,201085,2,1,33,2008,382074,201085,15,1,WYCHELM,same_SG,0
011Y,33,2008,15,1,WYCHELM,382074,201085,3,1,34,2009,382132,201047,15,1,POPLAR,same_SG,69.33974329343886
011Y,34,2009,15,1,POPLAR,382132,201047,2,1,35,2010,382132,201047,15,1,POPLAR,same_SG,0
011Y,35,2010,15,1,POPLAR,382132,201047,2,1,36,2011,382074,201085,15,1,WYCHELM,same_SG,69.33974329343886
011Y,36,2011,15,1,WYCHELM,382074,201085,2,1,37,2012,382074,201085,15,1,WYCHELM,same_SG,0
012B,31,2006,12,1,TOP,381795,200962,2,1,32,2007,381619,201268,11,1,YEW,neighbour_SG,353.0042492662093
012B,32,2007,11,1,YEW,381619,201268,2,1,33,2008,381737,201220,11,1,TAXUS,same_SG,127.38916751435343
012B,33,2008,11,1,TAXUS,381737,201220,1,1,34,2009,381619,201268,11,1,YEW,same_SG,127.38916751435343
012C,41,2016,1,1,WEST,380190,201400,2,1,42,2017,380190,201400,1,1,WEST,same_SG,0
012E,38,2013,3,1,CHESNUT,380834,201150,1,1,39,2014,380931,201164,3,1,BEECH,same_SG,98.00510190801293
012E,39,2014,3,1,BEECH,380931,201164,1,1,40,2015,380931,201164,3,1,BEECH,same_SG,0
012E,40,2015,3,1,BEECH,380931,201164,1,1,41,2016,380834,201150,3,1,CHESNUT,same_SG,98.00510190801293
012E,41,2016,3,1,CHESNUT,380834,201150,1,1,42,2017,380931,201164,3,1,BEECH,same_SG,98.00510190801293
012E,42,2017,3,1,BEECH,380931,201164,1,1,43,2018,380931,201164,3,1,BEECH,same_SG,0
012E,43,2018,3,1,BEECH,380931,201164,1,1,44,2019,380931,201164,3,1,BEECH,same_SG,0
012F,35,2010,8,1,HONEYWELL,381931,201706,2,1,36,2011,381931,201706,8,1,HONEYWELL,same_SG,0
012G,28,2003,11,1,TAXUS,381737,201220,2,1,29,2004,381795,200962,12,1,TOP,neighbour_SG,264.43902888945877
012G,29,2004,12,1,TOP,381795,200962,2,1,30,2005,381795,200962,12,1,TOP,same_SG,0
