transition_id,tattoo,entry_group,origin_year,next_year,origin_SG,dest_SG,observed_category,observed_distance_m,sigma_test,exp_same_SG,exp_neighbour_SG,exp_nonneighbour_SG,exp_peripheral,expected_prob_observed
1586,E097,1,1991,1992,17,17,same_SG,0,60,0.9430893885516919,0.056910611448308016,0,0,0.9430893885516919
1586,E097,1,1991,1992,17,17,same_SG,0,100,0.8025223342342066,0.19745569674964683,0,2.1969016146470055e-5,0.8025223342342066
1586,E097,1,1991,1992,17,17,same_SG,0,150,0.6172854710230194,0.37788432936005667,0.001551349882788731,0.003278849734135104,0.6172854710230194
1587,E098,1,1988,1989,18,18,same_SG,0,60,0.6729565485555616,0.32704345144443836,0,0,0.6729565485555616
1587,E098,1,1988,1989,18,18,same_SG,0,100,0.6310869561364685,0.3667172710269528,2.0342350180008864e-4,0.0019923493347786185,0.6310869561364685
1587,E098,1,1988,1989,18,18,same_SG,0,150,0.5714522862811067,0.3849805425841699,0.014304277180092683,0.02926289395463078,0.5714522862811067
1588,E098,1,1989,1990,18,17,neighbour_SG,421.2172835960082,60,0.6729565485555616,0.32704345144443836,0,0,0.32704345144443836
1588,E098,1,1989,1990,18,17,neighbour_SG,421.2172835960082,100,0.6310869561364685,0.3667172710269528,2.0342350180008864e-4,0.0019923493347786185,0.3667172710269528
1588,E098,1,1989,1990,18,17,neighbour_SG,421.2172835960082,150,0.5714522862811067,0.3849805425841699,0.014304277180092683,0.02926289395463078,0.3849805425841699
1589,E098,1,1990,1991,17,17,same_SG,0,60,0.9430893885516919,0.056910611448308016,0,0,0.9430893885516919
1589,E098,1,1990,1991,17,17,same_SG,0,100,0.8025223342342066,0.19745569674964683,0,2.1969016146470055e-5,0.8025223342342066
1589,E098,1,1990,1991,17,17,same_SG,0,150,0.6172854710230194,0.37788432936005667,0.001551349882788731,0.003278849734135104,0.6172854710230194
1590,F001,1,1985,1986,16,16,same_SG,0,60,0.8949406422003066,0.10505935779969332,0,0,0.8949406422003066
1590,F001,1,1985,1986,16,16,same_SG,0,100,0.7437524796863928,0.24259204422009598,0,0.013655476093511195,0.7437524796863928
1590,F001,1,1985,1986,16,16,same_SG,0,150,0.5970332812786139,0.31419342954935525,0.0019805524121187202,0.08679273675991207,0.5970332812786139
1591,F001,1,1986,1987,16,16,same_SG,0,60,0.8949406422003066,0.10505935779969332,0,0,0.8949406422003066
1591,F001,1,1986,1987,16,16,same_SG,0,100,0.7437524796863928,0.24259204422009598,0,0.013655476093511195,0.7437524796863928
1591,F001,1,1986,1987,16,16,same_SG,0,150,0.5970332812786139,0.31419342954935525,0.0019805524121187202,0.08679273675991207,0.5970332812786139
1592,F001,1,1987,1988,16,16,same_SG,0,60,0.8949406422003066,0.10505935779969332,0,0,0.8949406422003066
1592,F001,1,1987,1988,16,16,same_SG,0,100,0.7437524796863928,0.24259204422009598,0,0.013655476093511195,0.7437524796863928
1592,F001,1,1987,1988,16,16,same_SG,0,150,0.5970332812786139,0.31419342954935525,0.0019805524121187202,0.08679273675991207,0.5970332812786139
1593,F002,1,1985,1986,9,9,same_SG,0,60,0.3210006888076322,0.6789186936507076,8.061754166024745e-5,0,0.3210006888076322
1593,F002,1,1985,1986,9,9,same_SG,0,100,0.27860887023043485,0.7124719566626349,0.008919173106930219,0,0.27860887023043485
1593,F002,1,1985,1986,9,9,same_SG,0,150,0.23580776939598294,0.713576195932695,0.04978498001305647,8.310546582657024e-4,0.23580776939598294
1594,F002,1,1986,1987,9,10,neighbour_SG,191.08375127153016,60,0.3210006888076322,0.6789186936507076,8.061754166024745e-5,0,0.6789186936507076
1594,F002,1,1986,1987,9,10,neighbour_SG,191.08375127153016,100,0.27860887023043485,0.7124719566626349,0.008919173106930219,0,0.7124719566626349
1594,F002,1,1986,1987,9,10,neighbour_SG,191.08375127153016,150,0.23580776939598294,0.713576195932695,0.04978498001305647,8.310546582657024e-4,0.713576195932695
1595,F003,1,1985,1986,10,10,same_SG,0,60,0.9262636258633085,0.07373637413669146,0,0,0.9262636258633085
1595,F003,1,1985,1986,10,10,same_SG,0,100,0.6834106779348738,0.31598771008730403,6.016119778222321e-4,0,0.6834106779348738
1595,F003,1,1985,1986,10,10,same_SG,0,150,0.42617601413030437,0.5525323734938806,0.021278560876082184,1.3051499732813674e-5,0.42617601413030437
1596,F004,1,1985,1986,2,2,same_SG,0,60,0.5851865099383535,0.19484167311297104,0,0.21997181694867543,0.5851865099383535
1596,F004,1,1985,1986,2,2,same_SG,0,100,0.4857289025227095,0.2563901641236672,1.590443915197149e-4,0.2577218889621036,0.4857289025227095
1596,F004,1,1985,1986,2,2,same_SG,0,150,0.362411711737773,0.3412189777105271,0.009164170360850809,0.28720514019084914,0.362411711737773
1597,F004,1,1986,1987,2,2,same_SG,185.17289218457435,60,0.5851865099383535,0.19484167311297104,0,0.21997181694867543,0.5851865099383535
1597,F004,1,1986,1987,2,2,same_SG,185.17289218457435,100,0.4857289025227095,0.2563901641236672,1.590443915197149e-4,0.2577218889621036,0.4857289025227095
1597,F004,1,1986,1987,2,2,same_SG,185.17289218457435,150,0.362411711737773,0.3412189777105271,0.009164170360850809,0.28720514019084914,0.362411711737773
1598,F004,1,1987,1988,2,3,neighbour_SG,397.7235220602372,60,0.8761075033407697,0.12338420595384249,3.3099710943504146e-4,1.772935959528214e-4,0.12338420595384249
1598,F004,1,1987,1988,2,3,neighbour_SG,397.7235220602372,100,0.657131039187764,0.3180693743832574,0.011119601163194237,0.013679985265784258,0.3180693743832574
1598,F004,1,1987,1988,2,3,neighbour_SG,397.7235220602372,150,0.4314294641018157,0.47070273477586416,0.03638867630154061,0.06147912482077955,0.47070273477586416
1599,F005,1,1985,1986,2,2,same_SG,185.17289218457435,60,0.8761075033407697,0.12338420595384249,3.3099710943504146e-4,1.772935959528214e-4,0.8761075033407697
1599,F005,1,1985,1986,2,2,same_SG,185.17289218457435,100,0.657131039187764,0.3180693743832574,0.011119601163194237,0.013679985265784258,0.657131039187764
1599,F005,1,1985,1986,2,2,same_SG,185.17289218457435,150,0.4314294641018157,0.47070273477586416,0.03638867630154061,0.06147912482077955,0.4314294641018157
1600,F007,1,1985,1986,11,11,same_SG,0,60,0.7943699613652977,0.2056300386347023,0,0,0.7943699613652977
1600,F007,1,1985,1986,11,11,same_SG,0,100,0.5912456689188397,0.40293406681283983,0.005820264268320541,0,0.5912456689188397
1600,F007,1,1985,1986,11,11,same_SG,0,150,0.4330311823861508,0.5118397966198263,0.055122597567488725,6.423426534155869e-6,0.4330311823861508
1601,F007,1,1986,1987,11,11,same_SG,0,60,0.7943699613652977,0.2056300386347023,0,0,0.7943699613652977
1601,F007,1,1986,1987,11,11,same_SG,0,100,0.5912456689188397,0.40293406681283983,0.005820264268320541,0,0.5912456689188397
1601,F007,1,1986,1987,11,11,same_SG,0,150,0.4330311823861508,0.5118397966198263,0.055122597567488725,6.423426534155869e-6,0.4330311823861508
1602,F007,1,1987,1988,11,11,same_SG,0,60,0.7943699613652977,0.2056300386347023,0,0,0.7943699613652977
1602,F007,1,1987,1988,11,11,same_SG,0,100,0.5912456689188397,0.40293406681283983,0.005820264268320541,0,0.5912456689188397
1602,F007,1,1987,1988,11,11,same_SG,0,150,0.4330311823861508,0.5118397966198263,0.055122597567488725,6.423426534155869e-6,0.4330311823861508
1603,F007,1,1988,1989,11,11,same_SG,0,60,0.7943699613652977,0.2056300386347023,0,0,0.7943699613652977
1603,F007,1,1988,1989,11,11,same_SG,0,100,0.5912456689188397,0.40293406681283983,0.005820264268320541,0,0.5912456689188397
1603,F007,1,1988,1989,11,11,same_SG,0,150,0.4330311823861508,0.5118397966198263,0.055122597567488725,6.423426534155869e-6,0.4330311823861508
1604,F007,1,1991,1992,11,13,neighbour_SG,139.51702405083043,60,0.5084918509224245,0.4915081490775755,0,0,0.4915081490775755
1604,F007,1,1991,1992,11,13,neighbour_SG,139.51702405083043,100,0.3984693498898829,0.5984094790311754,0.0031211710789417384,0,0.5984094790311754
1604,F007,1,1991,1992,11,13,neighbour_SG,139.51702405083043,150,0.3244761899007722,0.6370661263825033,0.03837147072110958,8.621299561496808e-5,0.6370661263825033
1605,F007,1,1992,1993,13,11,neighbour_SG,139.51702405083043,60,0.7138082841603705,0.28619171583962955,0,0,0.28619171583962955
1605,F007,1,1992,1993,13,11,neighbour_SG,139.51702405083043,100,0.513739957328463,0.47953198227889976,0.0067280603926372536,0,0.47953198227889976
1605,F007,1,1992,1993,13,11,neighbour_SG,139.51702405083043,150,0.3484232824390412,0.6107037272054525,0.0408530374573089,1.995289819735364e-5,0.6107037272054525
1606,F009,1,1985,1986,16,16,same_SG,0,60,0.8949406422003066,0.10505935779969332,0,0,0.8949406422003066
1606,F009,1,1985,1986,16,16,same_SG,0,100,0.7437524796863928,0.24259204422009598,0,0.013655476093511195,0.7437524796863928
1606,F009,1,1985,1986,16,16,same_SG,0,150,0.5970332812786139,0.31419342954935525,0.0019805524121187202,0.08679273675991207,0.5970332812786139
1607,F009,1,1986,1987,16,16,same_SG,0,60,0.8949406422003066,0.10505935779969332,0,0,0.8949406422003066
1607,F009,1,1986,1987,16,16,same_SG,0,100,0.7437524796863928,0.24259204422009598,0,0.013655476093511195,0.7437524796863928
1607,F009,1,1986,1987,16,16,same_SG,0,150,0.5970332812786139,0.31419342954935525,0.0019805524121187202,0.08679273675991207,0.5970332812786139
1608,F009,1,1987,1988,16,16,same_SG,465.17308606582134,60,0.8949406422003066,0.10505935779969332,0,0,0.8949406422003066
1608,F009,1,1987,1988,16,16,same_SG,465.17308606582134,100,0.7437524796863928,0.24259204422009598,0,0.013655476093511195,0.7437524796863928
1608,F009,1,1987,1988,16,16,same_SG,465.17308606582134,150,0.5970332812786139,0.31419342954935525,0.0019805524121187202,0.08679273675991207,0.5970332812786139
1609,F011,1,1985,1986,21,21,same_SG,0,60,0.8311955952336006,0.16866770068207296,1.3670408432643537e-4,0,0.8311955952336006
1609,F011,1,1985,1986,21,21,same_SG,0,100,0.6611605049306535,0.331596333386678,0.0072431616826684865,0,0.6611605049306535
1609,F011,1,1985,1986,21,21,same_SG,0,150,0.5416199895349346,0.41768472735356005,0.03811392255576304,0.0025813605557423996,0.5416199895349346
1610,F011,1,1986,1987,21,21,same_SG,0,60,0.8311955952336006,0.16866770068207296,1.3670408432643537e-4,0,0.8311955952336006
1610,F011,1,1986,1987,21,21,same_SG,0,100,0.6611605049306535,0.331596333386678,0.0072431616826684865,0,0.6611605049306535
1610,F011,1,1986,1987,21,21,same_SG,0,150,0.5416199895349346,0.41768472735356005,0.03811392255576304,0.0025813605557423996,0.5416199895349346
1611,F012,1,1985,1986,5,5,same_SG,0,60,0.4352703034305346,0,0,0.5647296965694654,0.4352703034305346
1611,F012,1,1985,1986,5,5,same_SG,0,100,0.2930534559644393,0.0047028269406942545,0,0.7022437170948663,0.2930534559644393
1611,F012,1,1985,1986,5,5,same_SG,0,150,0.19838751257475404,0.038857806197829414,0,0.7627546812274166,0.19838751257475404
1612,F013,1,1985,1986,4,4,same_SG,0,60,0.710540573643944,0,0,0.289459426356056,0.710540573643944
1612,F013,1,1985,1986,4,4,same_SG,0,100,0.6088432734028951,0.002355840923817583,0,0.3888008856732873,0.6088432734028951
1612,F013,1,1985,1986,4,4,same_SG,0,150,0.5422141945720885,0.030645671284055768,0,0.42714013414385577,0.5422141945720885
1613,F013,1,1986,1987,4,4,same_SG,203.24615617521528,60,0.710540573643944,0,0,0.289459426356056,0.710540573643944
1613,F013,1,1986,1987,4,4,same_SG,203.24615617521528,100,0.6088432734028951,0.002355840923817583,0,0.3888008856732873,0.6088432734028951
1613,F013,1,1986,1987,4,4,same_SG,203.24615617521528,150,0.5422141945720885,0.030645671284055768,0,0.42714013414385577,0.5422141945720885
1614,F013,1,1987,1988,4,4,same_SG,73.35529974037323,60,0.8400558136168167,0,0,0.1599441863831834,0.8400558136168167
1614,F013,1,1987,1988,4,4,same_SG,73.35529974037323,100,0.7182658970497622,4.1392702170943256e-4,0,0.2813201759285284,0.7182658970497622
1614,F013,1,1987,1988,4,4,same_SG,73.35529974037323,150,0.6388543286553438,0.01827796545459512,0,0.3428677058900611,0.6388543286553438
1615,F013,1,1988,1989,4,4,same_SG,269.0724809414742,60,0.9663991056154051,0,0,0.033600894384594814,0.9663991056154051
1615,F013,1,1988,1989,4,4,same_SG,269.0724809414742,100,0.8514057173206174,9.84977986618725e-4,0,0.1476093046927638,0.8514057173206174
1615,F013,1,1988,1989,4,4,same_SG,269.0724809414742,150,0.7399338178096576,0.026710275303567496,0,0.23335590688677493,0.7399338178096576
1616,F013,1,1989,1990,4,4,same_SG,269.0724809414742,60,0.710540573643944,0,0,0.289459426356056,0.710540573643944
1616,F013,1,1989,1990,4,4,same_SG,269.0724809414742,100,0.6088432734028951,0.002355840923817583,0,0.3888008856732873,0.6088432734028951
1616,F013,1,1989,1990,4,4,same_SG,269.0724809414742,150,0.5422141945720885,0.030645671284055768,0,0.42714013414385577,0.5422141945720885
1617,F013,1,1990,1991,4,4,same_SG,269.0724809414742,60,0.9663991056154051,0,0,0.033600894384594814,0.9663991056154051
1617,F013,1,1990,1991,4,4,same_SG,269.0724809414742,100,0.8514057173206174,9.84977986618725e-4,0,0.1476093046927638,0.8514057173206174
1617,F013,1,1990,1991,4,4,same_SG,269.0724809414742,150,0.7399338178096576,0.026710275303567496,0,0.23335590688677493,0.7399338178096576
1618,F013,1,1991,1992,4,4,same_SG,269.0724809414742,60,0.710540573643944,0,0,0.289459426356056,0.710540573643944
1618,F013,1,1991,1992,4,4,same_SG,269.0724809414742,100,0.6088432734028951,0.002355840923817583,0,0.3888008856732873,0.6088432734028951
1618,F013,1,1991,1992,4,4,same_SG,269.0724809414742,150,0.5422141945720885,0.030645671284055768,0,0.42714013414385577,0.5422141945720885
1619,F013,1,1994,1995,4,4,same_SG,0,60,0.710540573643944,0,0,0.289459426356056,0.710540573643944
1619,F013,1,1994,1995,4,4,same_SG,0,100,0.6088432734028951,0.002355840923817583,0,0.3888008856732873,0.6088432734028951
1619,F013,1,1994,1995,4,4,same_SG,0,150,0.5422141945720885,0.030645671284055768,0,0.42714013414385577,0.5422141945720885
1620,F014,1,1985,1986,4,4,same_SG,592.2744296354521,60,0.710540573643944,0,0,0.289459426356056,0.710540573643944
1620,F014,1,1985,1986,4,4,same_SG,592.2744296354521,100,0.6088432734028951,0.002355840923817583,0,0.3888008856732873,0.6088432734028951
1620,F014,1,1985,1986,4,4,same_SG,592.2744296354521,150,0.5422141945720885,0.030645671284055768,0,0.42714013414385577,0.5422141945720885
1621,F015,1,1985,1986,5,5,same_SG,0,60,0.4352703034305346,0,0,0.5647296965694654,0.4352703034305346
1621,F015,1,1985,1986,5,5,same_SG,0,100,0.2930534559644393,0.0047028269406942545,0,0.7022437170948663,0.2930534559644393
1621,F015,1,1985,1986,5,5,same_SG,0,150,0.19838751257475404,0.038857806197829414,0,0.7627546812274166,0.19838751257475404
1622,F017,1,1985,1986,21,21,same_SG,0,60,0.8311955952336006,0.16866770068207296,1.3670408432643537e-4,0,0.8311955952336006
1622,F017,1,1985,1986,21,21,same_SG,0,100,0.6611605049306535,0.331596333386678,0.0072431616826684865,0,0.6611605049306535
1622,F017,1,1985,1986,21,21,same_SG,0,150,0.5416199895349346,0.41768472735356005,0.03811392255576304,0.0025813605557423996,0.5416199895349346
1623,F019,1,1985,1986,9,9,same_SG,0,60,0.3210006888076322,0.6789186936507076,8.061754166024745e-5,0,0.3210006888076322
1623,F019,1,1985,1986,9,9,same_SG,0,100,0.27860887023043485,0.7124719566626349,0.008919173106930219,0,0.27860887023043485
1623,F019,1,1985,1986,9,9,same_SG,0,150,0.23580776939598294,0.713576195932695,0.04978498001305647,8.310546582657024e-4,0.23580776939598294
1624,F020,1,1985,1986,10,9,neighbour_SG,215.40659228538016,60,0.9262636258633085,0.07373637413669146,0,0,0.07373637413669146
1624,F020,1,1985,1986,10,9,neighbour_SG,215.40659228538016,100,0.6834106779348738,0.31598771008730403,6.016119778222321e-4,0,0.31598771008730403
1624,F020,1,1985,1986,10,9,neighbour_SG,215.40659228538016,150,0.42617601413030437,0.5525323734938806,0.021278560876082184,1.3051499732813674e-5,0.5525323734938806
1625,F020,1,1986,1987,9,9,same_SG,24.351591323771842,60,0.3663657515475011,0.6336342484524989,0,0,0.3663657515475011
1625,F020,1,1986,1987,9,9,same_SG,24.351591323771842,100,0.2921468340327426,0.7010988157219608,0.0067543502452966165,0,0.2921468340327426
1625,F020,1,1986,1987,9,9,same_SG,24.351591323771842,150,0.2385645486674842,0.7149847420305224,0.04504836361181069,0.0014023456901827822,0.2385645486674842
1626,F020,1,1987,1988,9,10,neighbour_SG,191.08375127153016,60,0.3210006888076322,0.6789186936507076,8.061754166024745e-5,0,0.6789186936507076
1626,F020,1,1987,1988,9,10,neighbour_SG,191.08375127153016,100,0.27860887023043485,0.7124719566626349,0.008919173106930219,0,0.7124719566626349
1626,F020,1,1987,1988,9,10,neighbour_SG,191.08375127153016,150,0.23580776939598294,0.713576195932695,0.04978498001305647,8.310546582657024e-4,0.713576195932695
1627,F022,1,1985,1986,3,3,same_SG,0,60,0.748140465300824,0.251859534699176,0,0,0.748140465300824
1627,F022,1,1985,1986,3,3,same_SG,0,100,0.5382935084307708,0.45956503822438083,0.0021414533448484057,0,0.5382935084307708
1627,F022,1,1985,1986,3,3,same_SG,0,150,0.3588165560924883,0.6068120436820459,0.03234864971019654,0.0020227505152692607,0.3588165560924883
1628,F022,1,1986,1987,3,3,same_SG,0,60,0.748140465300824,0.251859534699176,0,0,0.748140465300824
1628,F022,1,1986,1987,3,3,same_SG,0,100,0.5382935084307708,0.45956503822438083,0.0021414533448484057,0,0.5382935084307708
1628,F022,1,1986,1987,3,3,same_SG,0,150,0.3588165560924883,0.6068120436820459,0.03234864971019654,0.0020227505152692607,0.3588165560924883
1629,F022,1,1987,1988,3,3,same_SG,0,60,0.748140465300824,0.251859534699176,0,0,0.748140465300824
1629,F022,1,1987,1988,3,3,same_SG,0,100,0.5382935084307708,0.45956503822438083,0.0021414533448484057,0,0.5382935084307708
1629,F022,1,1987,1988,3,3,same_SG,0,150,0.3588165560924883,0.6068120436820459,0.03234864971019654,0.0020227505152692607,0.3588165560924883
1630,F023,1,1988,1989,4,999,peripheral,273.82658746002005,60,0.710540573643944,0,0,0.289459426356056,0.289459426356056
1630,F023,1,1988,1989,4,999,peripheral,273.82658746002005,100,0.6088432734028951,0.002355840923817583,0,0.3888008856732873,0.3888008856732873
1630,F023,1,1988,1989,4,999,peripheral,273.82658746002005,150,0.5422141945720885,0.030645671284055768,0,0.42714013414385577,0.42714013414385577
1631,F024,1,1985,1986,4,4,same_SG,0,60,1,0,0,0,1
1631,F024,1,1985,1986,4,4,same_SG,0,100,0.9832547898124954,0.014104730030782204,0,0.0026404801567225166,0.9832547898124954
1631,F024,1,1985,1986,4,4,same_SG,0,150,0.8757988231401371,0.08302833194006401,6.336514288760751e-5,0.04110947977691122,0.8757988231401371
1632,F025,1,1985,1986,2,2,same_SG,185.17289218457435,60,0.5851865099383535,0.19484167311297104,0,0.21997181694867543,0.5851865099383535
1632,F025,1,1985,1986,2,2,same_SG,185.17289218457435,100,0.4857289025227095,0.2563901641236672,1.590443915197149e-4,0.2577218889621036,0.4857289025227095
1632,F025,1,1985,1986,2,2,same_SG,185.17289218457435,150,0.362411711737773,0.3412189777105271,0.009164170360850809,0.28720514019084914,0.362411711737773
1633,F025,1,1986,1987,2,4,nonneighbour_SG,692.0354037186248,60,0.8761075033407697,0.12338420595384249,3.3099710943504146e-4,1.772935959528214e-4,3.3099710943504146e-4
1633,F025,1,1986,1987,2,4,nonneighbour_SG,692.0354037186248,100,0.657131039187764,0.3180693743832574,0.011119601163194237,0.013679985265784258,0.011119601163194237
1633,F025,1,1986,1987,2,4,nonneighbour_SG,692.0354037186248,150,0.4314294641018157,0.47070273477586416,0.03638867630154061,0.06147912482077955,0.03638867630154061
1634,F026,1,1985,1986,16,16,same_SG,0,60,0.8949406422003066,0.10505935779969332,0,0,0.8949406422003066
1634,F026,1,1985,1986,16,16,same_SG,0,100,0.7437524796863928,0.24259204422009598,0,0.013655476093511195,0.7437524796863928
1634,F026,1,1985,1986,16,16,same_SG,0,150,0.5970332812786139,0.31419342954935525,0.0019805524121187202,0.08679273675991207,0.5970332812786139
1635,F027,1,1985,1986,12,12,same_SG,0,60,0.9413234071317047,0.05867659286829524,0,0,0.9413234071317047
1635,F027,1,1985,1986,12,12,same_SG,0,100,0.7948998519052538,0.2025263149583517,7.303864508615866e-4,0.0018434466855329413,0.7948998519052538
1635,F027,1,1985,1986,12,12,same_SG,0,150,0.6208479737890128,0.35068381995233544,0.01448113679301699,0.013987069465634754,0.6208479737890128
1636,F027,1,1986,1987,12,15,neighbour_SG,670.1947478158867,60,0.9413234071317047,0.05867659286829524,0,0,0.05867659286829524
1636,F027,1,1986,1987,12,15,neighbour_SG,670.1947478158867,100,0.7948998519052538,0.2025263149583517,7.303864508615866e-4,0.0018434466855329413,0.2025263149583517
1636,F027,1,1986,1987,12,15,neighbour_SG,670.1947478158867,150,0.6208479737890128,0.35068381995233544,0.01448113679301699,0.013987069465634754,0.35068381995233544
1637,F027,1,1987,1988,15,15,same_SG,407.9460748677452,60,0.9998729303903097,1.270696096903149e-4,0,0,0.9998729303903097
1637,F027,1,1987,1988,15,15,same_SG,407.9460748677452,100,0.9717195050992963,0.028280494900703786,0,0,0.9717195050992963
1637,F027,1,1987,1988,15,15,same_SG,407.9460748677452,150,0.841621260751604,0.15657934242626662,0.0012583048273647418,5.410919947646579e-4,0.841621260751604
1638,F028,1,1985,1986,16,16,same_SG,0,60,0.8949406422003066,0.10505935779969332,0,0,0.8949406422003066
1638,F028,1,1985,1986,16,16,same_SG,0,100,0.7437524796863928,0.24259204422009598,0,0.013655476093511195,0.7437524796863928
1638,F028,1,1985,1986,16,16,same_SG,0,150,0.5970332812786139,0.31419342954935525,0.0019805524121187202,0.08679273675991207,0.5970332812786139
1639,F028,1,1986,1987,16,21,neighbour_SG,586.4094132941592,60,0.8949406422003066,0.10505935779969332,0,0,0.10505935779969332
